wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
jh1w4dcq,delulu-benv2-final-mask-token-s2s1,benv2,s2,s1,61.28,0.00024996619074025265,1.0,0.0010414970914954837,100,0.2586620733023437,0.1385673981260164,0.5,False,True,True,0.48670760660698464,0.07201461311817914,0.39154789037511895,151668518,distill+latent+ce,38.38,48.16,65.85,61.20,60.16,60.65,48.74,61.84,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
ah3z9mqi,delulu-benv2-final-delulu-s2s1,benv2,s2,s1,61.28,0.00032664323386591724,1.0,0.05156396035720587,100,0.22331601486890676,0.4971342017484367,0.5,False,False,True,0.32571917024899605,0.4696984234767113,0.9843670352304384,151668518,distill+latent+prefusion+ce,33.45,50.33,65.00,61.38,64.41,61.41,48.82,62.96,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
h5rnbuee,delulu-benv2-final-no-prefusion-s2s1,benv2,s2,s1,61.28,1.5414495357100596e-05,1.0,0.04445199672154262,100,0.2009617911354517,0.41853696476964575,0.5,False,False,True,0.4710665533772572,0.1629307340062338,0.6730238171935895,151668518,distill+latent+ce,33.88,45.22,67.20,62.82,59.89,61.78,46.88,61.87,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
pjgsudeo,delulu-benv2-final-delulu-s2s1,benv2,s2,s1,61.28,9.93068576165212e-05,1.0,3.3656061333363665e-05,100,0.4061624166705182,0.24935134718171037,0.5,False,False,True,0.41399416835951175,0.4999630810203499,0.8484302578776862,151668518,distill+latent+prefusion+ce,36.50,47.76,66.14,61.31,63.69,60.20,50.10,59.34,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
9e4kz26d,delulu-benv2-final-delulu-s2s1,benv2,s2,s1,61.28,0.0005829583894916611,1.0,0.009372827831797707,100,0.3116498582122636,0.3999709272148107,0.5,False,False,True,0.32732800618775215,0.8058852491948092,0.8365286211015566,151668518,distill+latent+prefusion+ce,35.35,48.16,64.92,61.44,64.40,61.33,49.87,62.17,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
z7bv7jtn,delulu-benv2-final-no-prefusion-s2s1,benv2,s2,s1,61.28,0.00020553593755721835,1.0,1.872736496764645e-05,100,0.2478026931469405,0.4926418892628658,0.5,False,False,True,0.31540242233699256,0.41404361108120014,0.4428476868683171,151668518,distill+latent+ce,37.14,47.77,65.50,60.19,60.06,60.03,45.40,60.58,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
471m8dga,delulu-benv2-final-mask-token-s2s1,benv2,s2,s1,61.28,1.8036738410859156e-05,1.0,0.008009697012776831,100,0.10710391923099066,0.15741388410124985,0.5,False,True,True,0.29066445068149294,0.06801577673216941,0.9177470755980774,151668518,distill+latent+ce,35.53,43.91,66.26,61.97,59.61,61.36,47.38,62.22,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
n8umrws7,delulu-benv2-final-no-prefusion-s2s1,benv2,s2,s1,61.28,6.659401837806244e-05,1.0,0.03941083882097715,100,0.24006709362256964,0.45936735663018535,0.5,False,False,True,0.4519110958523736,0.7276519862938731,0.8419723212241993,151668518,distill+latent+ce,38.47,46.94,66.87,61.09,56.46,58.80,47.47,59.97,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
xq9lbee8,delulu-benv2-final-no-prefusion-s2s1,benv2,s2,s1,61.28,1.0543870516631968e-05,1.0,0.008749399753940913,100,0.4021006041047317,0.3975421700760282,0.5,False,False,True,0.4163602559129156,0.5430521846998986,0.4549931887037586,151668518,distill+latent+ce,32.78,43.02,66.37,61.79,61.78,61.68,47.15,60.09,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
vqerpxci,delulu-benv2-final-no-prefusion-s2s1,benv2,s2,s1,61.28,6.277065675747593e-05,1.0,0.025598915151444104,100,0.44689180974039655,0.41822616418901104,0.5,False,False,True,0.13964417304534138,0.13018474921104473,0.5223525841056617,151668518,distill+latent+ce,38.12,45.55,66.04,61.57,60.16,61.13,47.79,61.16,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
