model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,K,temperature,alpha,lambda_u,mixmatch_warmup_epochs,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,1.0,40.0,4,mIoU,15.79,43.45,32.80,checkpoints/evan_mixmatch_dfc2020_s2_20260414_023620.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.5,100.0,4,mIoU,12.93,40.78,35.88,checkpoints/evan_mixmatch_dfc2020_s2_20260414_025209.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,1.0,75.0,4,mIoU,14.59,40.70,37.27,checkpoints/evan_mixmatch_dfc2020_s2_20260414_025427.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.75,10.0,4,mIoU,35.37,49.94,35.76,checkpoints/evan_mixmatch_dfc2020_s2_20260414_031044.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,1.0,100.0,4,mIoU,14.75,32.66,23.20,checkpoints/evan_mixmatch_dfc2020_s2_20260414_031213.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.75,40.0,4,mIoU,15.20,42.68,31.07,checkpoints/evan_mixmatch_dfc2020_s2_20260414_032913.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.5,10.0,4,mIoU,41.31,50.41,48.67,checkpoints/evan_mixmatch_dfc2020_s2_20260414_032957.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.5,40.0,4,mIoU,32.94,43.90,33.85,checkpoints/evan_mixmatch_dfc2020_s2_20260414_034748.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.75,75.0,4,mIoU,15.00,38.28,31.78,checkpoints/evan_mixmatch_dfc2020_s2_20260414_034739.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.5,75.0,4,mIoU,15.58,41.56,31.99,checkpoints/evan_mixmatch_dfc2020_s2_20260414_040526.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.75,100.0,4,mIoU,12.70,39.49,27.57,checkpoints/evan_mixmatch_dfc2020_s2_20260414_040612.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.5,100.0,4,mIoU,14.67,40.20,30.14,checkpoints/evan_mixmatch_dfc2020_s2_20260414_042254.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,1.0,10.0,4,mIoU,35.04,51.20,36.47,checkpoints/evan_mixmatch_dfc2020_s2_20260414_042455.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.75,10.0,4,mIoU,46.20,49.55,46.20,checkpoints/evan_mixmatch_dfc2020_s2_20260414_044026.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,1.0,40.0,4,mIoU,15.11,41.74,28.79,checkpoints/evan_mixmatch_dfc2020_s2_20260414_044338.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.75,40.0,4,mIoU,15.53,42.50,36.70,checkpoints/evan_mixmatch_dfc2020_s2_20260414_045901.pt,clstoken,True
