wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
hd1x80kh,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,56.3,52.29,66.64,60.28,70.5,62.98,63.08,61.82,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
4x4lelfy,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,55.9,52.98,69.25,61.38,69.8,64.77,62.53,63.83,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
qrceky2s,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,57.15,52.53,68.93,62.48,70.5,64.48,63.53,63.82,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
onyykulj,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,57.1,50.83,69.2,62.45,70.2,65.69,63.28,64.0,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
12mgmli5,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,68.55,53.02,53.39,49.05,79.4,52.21,73.83,51.98,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
eexy6dpf,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,68.7,52.26,53.53,48.75,80.5,51.47,74.6,50.1,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
mymc4w0b,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,69.0,52.92,53.04,49.41,79.5,50.76,73.92,51.8,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
axn8tbbe,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,68.2,52.36,53.38,48.08,79.2,52.11,73.65,51.26,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
u9m0rdjs,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,68.25,52.63,53.43,49.48,81.4,51.23,74.83,53.5,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
wz6ea29n,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,67.8,52.83,53.49,48.61,79.55,52.25,73.28,53.63,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
kwjpum0o,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,67.7,53.05,53.66,50.42,79.5,52.17,73.42,51.58,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
at0oxyps,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,67.95,52.6,53.27,50.05,77.9,52.27,72.7,51.67,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
g5e7dtmh,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,68.2,52.56,53.7,49.86,80.4,51.78,74.08,52.57,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
eiexsmn4,delulu-apr21,benv2,s2,s1,61.27,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,57.35,51.84,66.31,62.54,74.5,63.43,65.78,62.63,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
6q2lhoh6,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,68.7,52.01,53.25,48.23,79.9,52.35,74.18,51.5,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
veyfadyz,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,67.9,53.06,54.06,50.42,78.4,50.0,72.22,54.27,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
frngq44c,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,68.7,52.13,53.71,49.1,80.7,51.28,74.38,52.3,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
rmt28t6y,delulu-apr21,benv2,s2,s1,61.27,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,57.15,51.1,66.95,62.26,73.85,62.19,65.3,61.51,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
oovl9e2m,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,69.05,52.36,53.63,48.72,81.5,51.69,74.97,52.19,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
tnljkjmq,delulu-apr21,benv2,s2,s1,61.27,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,57.75,50.91,66.77,60.96,74.5,61.3,66.1,61.4,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
ftwurbj7,delulu-apr21,benv2,s2,s1,61.27,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,57.65,50.74,66.19,60.63,72.25,62.3,64.7,61.15,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
1r225cvo,delulu-apr21,benv2,s2,s1,61.27,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,58.0,50.72,66.34,62.8,73.4,63.49,65.58,61.41,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
f09fpjwm,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,68.75,53.05,53.31,49.28,81.0,52.11,74.53,54.43,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
gqhapxbd,delulu-apr21,benv2,s2,s1,61.27,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,56.5,51.0,66.89,61.59,73.05,62.92,64.5,62.12,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
y5iip61o,delulu-apr21,benv2,s1,s2,49.23,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,67.35,52.29,53.08,48.82,80.8,51.27,74.03,52.23,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
olfg76b2,delulu-apr21,benv2,s2,s1,61.27,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,57.7,51.23,66.93,61.17,74.55,62.55,65.55,62.24,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
imi54cq3,delulu-apr21,benv2,s2,s1,61.27,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,57.75,52.34,67.05,61.27,75.05,63.4,66.05,62.88,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
2ao34v4b,delulu-apr21,benv2,s2,s1,61.27,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,57.6,51.69,66.58,61.13,73.65,63.7,64.93,61.87,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
gfy3jwhr,delulu-apr21,benv2,s2,s1,61.27,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144580646,latent+prefusion+distill+ce,,58.85,52.36,66.73,61.89,73.15,63.02,66.0,62.87,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
o8zjzhb4,delulu-apr21,benv2,s2_rgb,s1,63.36,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,142811174,latent+prefusion+distill+ce,transfer,56.1,51.43,68.55,61.93,72.85,63.23,64.0,62.94,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
jacs71te,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144187430,latent+prefusion+distill+ce,transfer,70.3,63.91,69.16,63.2,71.95,64.83,70.8,64.69,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
w95xz3ho,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.0007603670485331,,0.0031913124278612,100,0.4108021548500306,0.1741591752089117,0.0,False,False,True,0.132638256000174,0.8989186464658414,0.4225145106648574,0.5347535526975333,144187430,latent+prefusion+distill+ce,addition,69.1,62.62,66.29,59.66,70.65,63.86,69.6,62.58,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
s5a2duqt,delulu-apr21,benv2,s2_rgb,s1,63.36,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,142811174,latent+prefusion+distill+ce,transfer,56.15,51.27,69.28,62.34,72.35,63.9,64.25,63.72,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
hahxig21,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144187430,latent+prefusion+distill+ce,transfer,70.55,61.94,68.64,61.58,72.85,63.56,71.47,63.9,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
yw3cypzl,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144187430,latent+prefusion+distill+ce,peeking,69.25,62.07,68.98,62.2,71.05,63.44,69.75,62.81,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
2vwzqe1o,delulu-apr21,benv2,s2_rgb,s1,63.36,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,142811174,latent+prefusion+distill+ce,peeking,56.55,53.04,69.7,61.88,71.95,64.49,64.08,63.36,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
kbvqijbf,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144187430,latent+prefusion+distill+ce,transfer,69.95,62.76,69.87,62.37,73.1,64.46,71.0,62.74,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
ttnf4syo,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144187430,latent+prefusion+distill+ce,transfer,69.85,62.25,69.18,62.48,73.1,63.57,71.25,62.18,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
ufbz2eg4,delulu-apr21,benv2,s2_rgb,s1,63.36,0.0007603670485331,,0.0031913124278612,100,0.4108021548500306,0.1741591752089117,0.0,False,False,True,0.132638256000174,0.8989186464658414,0.4225145106648574,0.5347535526975333,142811174,latent+prefusion+distill+ce,addition,57.65,51.75,67.07,59.14,71.6,63.57,64.28,62.02,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
hq7q1u5q,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144187430,latent+prefusion+distill+ce,transfer,70.65,61.48,69.4,62.98,72.75,64.73,71.4,63.25,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
p4q1w7pk,delulu-apr21,benv2,s2_rgb,s1,63.36,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,142811174,latent+prefusion+distill+ce,transfer,56.4,51.72,69.13,63.66,72.9,64.33,64.55,63.5,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
ql6svz28,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144187430,latent+prefusion+distill+ce,peeking,68.75,62.39,69.4,62.27,71.5,63.26,69.88,63.5,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
an41nugi,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.0007603670485331,,0.0031913124278612,100,0.4108021548500306,0.1741591752089117,0.0,False,False,True,0.132638256000174,0.8989186464658414,0.4225145106648574,0.5347535526975333,144187430,latent+prefusion+distill+ce,addition,70.0,62.83,64.81,62.77,70.55,62.77,70.28,61.86,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
6avhhil4,delulu-apr21,benv2,s2_rgb,s1,63.36,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,142811174,latent+prefusion+distill+ce,transfer,56.5,51.59,68.7,63.51,73.0,64.94,64.62,64.41,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
etglfpw0,delulu-apr21,benv2,s2_rgb,s1,63.36,0.0007603670485331,,0.0031913124278612,100,0.4108021548500306,0.1741591752089117,0.0,False,False,True,0.132638256000174,0.8989186464658414,0.4225145106648574,0.5347535526975333,142811174,latent+prefusion+distill+ce,addition,58.15,51.73,66.86,60.92,72.2,63.96,64.5,61.57,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
maqkg7bu,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144187430,latent+prefusion+distill+ce,peeking,69.85,62.34,68.23,62.45,71.15,63.7,70.45,63.03,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
kyv8ph66,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.0007603670485331,,0.0031913124278612,100,0.4108021548500306,0.1741591752089117,0.0,False,False,True,0.132638256000174,0.8989186464658414,0.4225145106648574,0.5347535526975333,144187430,latent+prefusion+distill+ce,addition,69.6,61.35,64.89,58.53,70.5,61.67,69.97,59.61,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
