dataset,model_arch,starting_modality,new_modality,lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,trainable_params,active_losses,use_mfla,warmup_epochs,intermediate_projector_type,tz_fusion_time,metric_name,teacher_test_metric,transfer_metric,peeking_metric,addition_metric,addition_ens_metric,valchecked_transfer,valchecked_peek,valchecked_add,valchecked_add_ens,valchecked_val_transfer,valchecked_val_peek,valchecked_val_add,valchecked_val_add_ens,stage0_checkpoint,shote2e_checkpoint
dfc2020,evan_base,s1,s2_norgb,0.000229,0.000788,64,0.467,0.356,0.433,0.5,163074832,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,44.56,43.52,44.01,45.93,47.30,45.33,44.70,45.93,41.08,49.23,47.78,44.35,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0943.pt
dfc2020,evan_base,s1,s2_rgb,0.000229,0.000788,64,0.467,0.356,0.433,0.5,160320528,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,34.18,44.21,45.65,45.82,34.18,44.21,45.65,45.82,40.62,49.72,47.94,44.28,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0948.pt
dfc2020,evan_base,s2,s1,0.000229,0.000788,64,0.467,0.356,0.433,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,43.79,47.32,47.45,50.03,43.79,44.63,45.49,50.03,46.50,58.09,57.16,51.69,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0954.pt
dfc2020,evan_large,s2,s1,0.000229,0.000788,64,0.467,0.356,0.433,0.5,440439568,latent+prefusion+distill+ce,False,3,cross,3,mIoU,50.72,47.39,53.14,54.14,52.34,47.39,53.14,54.14,52.34,49.23,57.44,56.64,52.94,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt,checkpoints/delulunet_dfc2020_0420_0959.pt
dfc2020,evan_large,s2,s2_rgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,440964112,latent+prefusion+distill+ce,False,3,cross,3,mIoU,50.72,44.02,51.64,51.42,48.06,44.02,51.64,51.42,48.06,55.02,57.89,57.39,56.20,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt,checkpoints/delulunet_dfc2020_0420_1002.pt
dfc2020,evan_large,s2,s2_rgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,440964112,latent+prefusion+distill+ce,False,3,cross,3,mIoU,50.72,50.41,53.52,53.55,52.32,50.41,52.83,53.55,52.32,53.38,56.60,55.89,54.63,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt,checkpoints/delulunet_dfc2020_0420_1002.pt
dfc2020,evan_base,s2_rgb,s2,0.000229,0.000788,64,0.467,0.356,0.433,0.5,164648720,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.85,51.68,47.08,48.27,51.17,51.68,41.64,48.27,51.17,52.40,57.17,55.84,54.12,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,checkpoints/delulunet_dfc2020_0420_1003.pt
dfc2020,evan_large,s2,s2_rgb,0.000229,0.000788,64,0.467,0.356,0.433,0.5,440964112,latent+prefusion+distill+ce,False,3,cross,3,mIoU,50.72,47.50,50.22,50.21,49.19,47.50,52.71,52.58,49.19,54.27,57.03,56.72,55.01,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt,checkpoints/delulunet_dfc2020_0420_1004.pt
dfc2020,evan_large,s2,s2_norgb,0.000229,0.000788,64,0.467,0.356,0.433,0.5,444635920,latent+prefusion+distill+ce,False,3,cross,3,mIoU,50.72,52.64,52.57,52.66,52.69,52.64,53.13,53.17,52.69,55.43,57.32,56.79,56.04,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt,checkpoints/delulunet_dfc2020_0420_1004.pt
dfc2020,evan_large,s2,s2_rgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,440964112,latent+prefusion+distill+ce,False,3,cross,3,mIoU,50.72,45.33,53.27,53.11,50.80,44.70,53.27,53.11,50.80,53.63,57.60,56.94,54.71,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt,checkpoints/delulunet_dfc2020_0420_1007.pt
dfc2020,evan_large,s2,s1,0.000192,0.00353,64,0.322,0.283,0.296,0.5,440439568,latent+prefusion+distill+ce,False,3,cross,3,mIoU,50.72,42.91,51.51,52.71,51.15,42.91,51.51,52.71,51.15,48.65,57.81,57.10,52.88,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt,checkpoints/delulunet_dfc2020_0420_1008.pt
dfc2020,evan_large,s2,s2_norgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,444635920,latent+prefusion+distill+ce,False,3,cross,3,mIoU,50.72,52.82,53.65,53.28,53.58,52.82,52.77,53.28,53.58,53.95,57.41,56.17,55.06,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt,checkpoints/delulunet_dfc2020_0420_1008.pt
