model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
olmoearth-base,dfc2020,s2,fft,20,0.0001,0.0,32,mIoU,56.7652,52.5146,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260417_175558.pt
olmoearth-base,dfc2020,s1,fft,20,0.0001,0.0001,32,mIoU,52.6551,46.1856,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260417_175652.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0001,0.01,32,mIoU,56.2305,40.8860,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_180709.pt
olmoearth-base,dfc2020,s2s1,fft,20,0.0005,0.0,32,mIoU,56.7669,54.8233,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_180939.pt
olmoearth-base,dfc2020,s1,fft,20,0.0001,0.0,32,mIoU,52.3999,41.0519,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260417_181143.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0001,0.0001,32,mIoU,56.1221,47.0531,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_181925.pt
olmoearth-base,dfc2020,s2s1,fft,20,0.0001,0.01,32,mIoU,57.8132,55.1726,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_182504.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0001,0.0,32,mIoU,55.1245,41.6394,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_183133.pt
olmoearth-base,dfc2020,s2s1,fft,20,0.0001,0.0001,32,mIoU,56.9905,55.5631,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_184035.pt
olmoearth-base,dfc2020,s2s1,fft,20,0.0001,0.0,32,mIoU,57.1908,56.0015,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_185607.pt
panopticon,dfc2020,s2,fft,20,0.001,0.01,32,mIoU,53.7675,46.9273,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260417_192037.pt
panopticon,dfc2020,s2,fft,20,0.001,0.0001,32,mIoU,53.8549,52.1794,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260417_193639.pt
panopticon,dfc2020,s2,fft,20,0.001,0.0,32,mIoU,53.7112,45.2791,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260417_195237.pt
