model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s1,s2_norgb,fft,0,fft,0.0001,0.0,126387720,64,4.0,1.0,regular,ttm,mIoU,49.05,51.00,51.18,64,84.09,51.86,51.46,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0001,0.01,126387720,64,4.0,1.0,regular,ttm,mIoU,49.05,51.64,51.82,64,84.16,52.11,51.89,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s1,s2_norgb,fft,0,fft,5e-05,0.0,126387720,64,2.0,1.0,regular,ttm,mIoU,49.05,51.90,52.12,64,84.39,52.13,51.87,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0001,0.01,126387720,64,2.0,1.0,regular,ttm,mIoU,49.05,51.17,52.24,64,84.46,51.96,51.74,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.0,126387720,64,2.0,1.0,regular,kd,mIoU,49.05,49.52,50.08,64,83.84,51.28,50.84,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.01,126387720,64,4.0,1.0,regular,ttm,mIoU,59.01,58.15,58.58,64,91.11,59.43,59.37,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,5e-05,0.0,126387720,64,2.0,1.0,regular,ttm,mIoU,59.01,58.66,58.70,64,91.12,59.67,59.60,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.01,126387720,64,1.0,1.0,regular,kd,mIoU,59.01,57.56,58.02,64,90.73,59.20,59.17,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.0,125011464,64,2.0,1.0,regular,kd,mIoU,63.59,55.48,55.72,64,89.08,61.22,61.06,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,5e-05,0.0,125011464,64,2.0,1.0,regular,ttm,mIoU,63.59,56.31,56.41,64,88.97,61.36,61.38,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.01,126387720,64,2.0,1.0,regular,ttm,mIoU,59.01,58.84,58.84,64,91.33,59.66,59.63,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.0,126387720,64,2.0,1.0,regular,kd,mIoU,59.01,57.62,58.07,64,91.06,59.21,59.17,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.01,125011464,64,1.0,1.0,regular,kd,mIoU,63.59,55.12,55.46,64,88.50,61.25,61.21,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,0.0,125011464,64,4.0,1.0,regular,ttm,mIoU,63.59,55.93,56.83,64,88.87,61.11,60.95,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.01,126387720,64,1.0,1.0,regular,kd,mIoU,49.05,50.05,51.17,64,83.74,51.50,51.21,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.0,126387720,64,1.0,1.0,regular,kd,mIoU,59.01,58.21,58.51,64,91.32,59.40,59.38,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,0.01,125011464,64,4.0,1.0,regular,ttm,mIoU,63.59,55.88,56.57,64,88.67,61.14,61.15,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.0,126387720,64,4.0,1.0,regular,ttm,mIoU,59.01,57.87,58.52,64,91.20,59.30,59.25,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,0.0,125011464,64,1.0,1.0,regular,kd,mIoU,63.59,56.28,56.52,64,88.96,61.78,61.81,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,0.01,125011464,64,2.0,1.0,regular,ttm,mIoU,63.59,56.83,56.83,64,89.20,61.84,61.80,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
