wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
ufrxvcup,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0004774231555564398,,2.097367228673949e-05,64,0.3,0.11791989018024848,0.21788005493590604,0.15280371786988228,0.0,0.0,False,True,True,0.26961715304778766,0.6047276485413138,0.8583708932965115,0.5995580822364286,144580646,latent+prefusion+distill+ce,,64.80,50.92,53.88,50.53,80.30,50.75,71.72,53.06,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
fr2991mr,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,4.852288259074651e-05,,0.002533461702938288,64,0.3,0.17122916625764317,0.4003355813755233,0.1495263448121416,0.0,0.5,False,True,False,0.14365822491003105,0.8425918914776644,0.4412062686108474,0.5171821528070621,144580646,latent+prefusion+distill+ce,,64.00,49.74,52.98,49.47,77.00,47.92,68.85,51.67,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
tiglbtho,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00023376493657440356,,0.02938154596830289,64,0.3,0.10365369770239571,0.3291561585970654,0.38059324398387206,0.0,0.5,False,True,True,0.1804225082371917,0.308180273183849,0.8400817422777669,0.31401228699689115,144580646,latent+prefusion+distill+ce,,64.30,50.33,53.27,49.23,76.90,49.22,69.20,50.23,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
76v3zw6k,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,9.789986537996604e-05,,0.005239477819856014,64,0.3,0.20783893213865673,0.15336060386387507,0.365029017887036,0.0,1.0,False,True,False,0.1161465665599414,0.7733063721853006,0.7495527466071095,0.481505674150905,144580646,latent+prefusion+distill+ce,,66.45,52.18,52.38,47.96,72.50,49.22,65.97,49.57,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
t16mfxzp,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00034794903039907596,,1.197574634570328e-05,64,0.3,0.2178944966691297,0.1137808564937482,0.2652490569643141,0.0,1.0,False,True,False,0.14170742691028532,0.6704003741900739,0.8890946823051407,0.3524795067433757,144580646,latent+prefusion+distill+ce,,67.95,51.67,52.32,48.90,79.80,49.06,73.50,49.64,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
b8tpwitb,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0005438144981180184,,4.664977313334769e-05,64,0.3,0.4559433232617185,0.10964342670773478,0.4850896757015669,0.0,0.5,False,True,False,0.1615477936096732,0.7773419218974751,0.4246812707783141,0.6785265668957425,144580646,latent+prefusion+distill+ce,,59.50,46.12,50.38,47.19,70.95,47.06,64.03,48.01,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
7tnfn5ry,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0006275140982582575,,1.4849666338040946e-05,64,0.3,0.4956303826002309,0.40124008441812775,0.4787500065272387,0.0,0.0,False,True,False,0.226449511811471,0.6302405467463608,0.8822001475894243,0.5564531648345254,144580646,latent+prefusion+distill+ce,,64.70,52.25,51.69,47.61,74.60,50.83,69.65,52.97,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
0n8gbfkl,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0001819117264627227,,8.511800341483967e-05,64,0.3,0.20808069242674293,0.10335256744528026,0.1092870274508119,0.0,1.0,False,True,False,0.23036652452314443,0.42275144510874113,0.8823054970298874,0.3558115411618271,144580646,latent+prefusion+distill+ce,,66.05,52.17,53.35,48.87,78.55,50.49,72.30,52.24,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
3w5667zc,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00013925423222289454,,0.03381509658731599,64,0.3,0.3338639425127343,0.437280058782369,0.2564912634950272,0.0,0.5,False,True,False,0.0550956295093611,0.6316356121567469,0.8385212220939573,0.32320081193272354,144580646,latent+prefusion+distill+ce,,67.20,51.64,53.07,48.08,78.05,50.62,72.55,51.89,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
zcqo0n6j,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00020880737820228807,,9.629386330009896e-05,64,0.3,0.1064192817602459,0.22220374128040252,0.48272841930668775,0.0,0.5,False,True,True,0.24476400947731652,0.9307709761138758,0.5574352173088052,0.5757129952495483,144580646,latent+prefusion+distill+ce,,64.45,49.16,53.06,49.22,71.80,49.34,64.28,49.21,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
