wandb_run_id,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
t1huvzaa,benv2,s2,s1,61.28,0.00012918548697676672,1.0,0.03999416005595695,100,0.4484588918680069,0.12954779560435453,0.5,False,False,True,0.37949845776692914,0.3985418002029976,0.799187872155193,151668518,distill+latent+prefusion+ce,37.06,48.07,65.11,60.20,63.52,60.39,49.61,61.54,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_t1huvzaa_0502_0201.pt
1ojuk9un,benv2,s2,s1,61.28,5.685383983342345e-05,1.0,0.011334973905009855,100,0.38028250178579126,0.2994504793770387,0.5,False,False,True,0.16111413121945534,0.45391944448141686,0.1692311451647326,151668518,distill+latent+prefusion+ce,38.28,46.02,66.37,61.20,62.48,60.70,49.99,60.87,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_1ojuk9un_0502_0201.pt
yiptxbc0,benv2,s1,s2,49.23,0.00015417097592103764,1.0,0.00012240589570725472,100,0.49945652352499315,0.3755563473049339,0.5,False,False,True,0.01651068176559467,0.9297232563864692,0.06331679502126608,151668518,distill+latent+prefusion+ce,35.86,52.49,53.53,49.90,49.81,52.06,42.83,53.87,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,checkpoints/sweep_yiptxbc0_0502_0201.pt
n8izc0rx,benv2,s2,s1,61.28,8.369778718006113e-05,1.0,0.005559949429457599,100,0.20001873498156508,0.29703047799605514,0.5,False,False,True,0.1661893912078342,0.5978084118611668,0.35192980226670667,151668518,distill+latent+prefusion+ce,38.41,45.20,66.94,61.57,66.01,61.41,51.81,57.76,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_n8izc0rx_0502_0201.pt
lq0mayq7,benv2,s2,s1,61.28,0.0003586089085777792,1.0,0.0006319877089037792,100,0.29721428633194313,0.27389651973733,0.5,False,False,True,0.42701015734449455,0.07086350625142213,0.9342758107170306,151668518,distill+latent+ce,36.57,47.04,65.60,61.40,57.62,58.38,46.51,61.16,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_lq0mayq7_0502_0201.pt
g5wxbhqj,benv2,s2,s1,61.28,0.00027615405302268116,1.0,0.03243021528558389,100,0.18614551404660945,0.17169610961363235,0.5,False,False,True,0.06375814645515449,0.461726214010731,0.6830486222078466,151668518,distill+latent+prefusion+ce,34.88,47.91,65.67,60.72,65.14,61.01,49.57,62.68,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_g5wxbhqj_0502_0201.pt
5z60iwwu,benv2,s2,s1,61.28,0.00010856980316651004,1.0,0.00043160960347059295,100,0.3639999342325608,0.2614018784671509,0.5,False,False,True,0.09636985027056476,0.8466866058132066,0.2127940176366917,151668518,distill+latent+ce,39.22,48.61,67.44,61.98,62.75,61.93,49.96,62.81,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_5z60iwwu_0502_0201.pt
811wp59v,benv2,s1,s2,49.23,2.6029310504348258e-05,1.0,4.327073645816536e-05,100,0.2547294297831608,0.48457153278880893,0.5,False,False,True,0.07660896685623803,0.12936707852309948,0.5458241073822245,151668518,distill+latent+prefusion+ce,34.84,49.66,52.81,48.31,47.10,50.51,40.79,51.21,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,checkpoints/sweep_811wp59v_0502_0201.pt
lq8w1sgc,benv2,s2,s1,61.28,6.455577250670515e-05,1.0,7.032493372032335e-05,100,0.1030921848208505,0.44022337524838273,0.5,False,False,True,0.4168947270239937,0.9200954263641156,0.3902314926691187,151668518,distill+latent+ce,37.07,46.26,66.04,61.48,61.64,61.49,47.81,61.45,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_lq8w1sgc_0502_0202.pt
rtwieeit,benv2,s2,s1,61.28,0.0001831679316518058,1.0,3.417590381166002e-05,100,0.3968750288699331,0.17864201929642634,0.5,False,False,True,0.4119673043720888,0.4073465827703614,0.6465522836364933,151668518,distill+latent+ce,38.09,46.66,65.76,61.15,57.98,56.79,45.68,56.89,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_rtwieeit_0502_0202.pt
