slug,run,teacher_test,val_addition,val_peeking,val_transfer,test_addition,test_peeking,test_transfer,test_ens,lr,weight_decay,lambda_latent,lambda_prefusion,lambda_distill,token_mask_ratio,labeled_frequency,modality_dropout_startmod,modality_dropout_newmod
s1_to_s2norgb,tom7z74w,49.04692813833418,88.29103048142748,48.26448277439794,84.15537867052802,52.4617590114072,49.04204984447994,48.289291251939346,50.58887103525893,0.00044206694688142306,0.0001683785537525175,1.4552196657514471,0.8447613571893029,0.5244787407114354,0.5215892147317026,0.19821942360313863,0.3424428133867044,0.2808229630861291
s1_to_s2norgb,0jb9z9h9,49.04692813833418,88.45918976510998,47.2288411318576,79.38772205406947,51.5368466753409,48.49318098797182,45.312164473346066,49.347739553800736,0.0004742974894101008,0.00024373072658677805,2.904863462510732,0.8566967537538513,0.652624240317456,0.27440053519835683,0.3650561837104601,0.31156742517902797,0.491993164071591
s1_to_s2norgb,6vp28sy6,49.04692813833418,88.36101973032613,47.675409841699285,82.58119780441811,49.289015107193336,48.31671935707048,47.7339710430504,47.976432161704025,7.183516486469417e-05,0.00033618853594290053,2.6864998663075443,0.6452416394053415,0.7532833161695072,0.35646211748066015,0.12367950090352953,0.19569564512843257,0.2942120394210457
s1_to_s2norgb,dh9r0nsl,49.04692813833418,86.21735485765562,45.87031855146088,80.83647134096095,47.02480607504581,45.61667014188034,44.64286215787501,46.749895993991906,0.0008852520026865689,6.863523632067718e-05,3.169953362822977,0.8410977564669007,0.28530208743241137,0.5894549576758156,0.1706222181647311,0.18373320191876652,0.2755483166472301
s1_to_s2norgb,hn2klnd9,49.04692813833418,87.74706238907201,48.56360870396571,82.08336510958101,51.561297282332674,48.786846649314505,49.00778669924535,49.76049782143341,6.326920197126082e-05,3.375618347418978e-05,3.276149955419019,0.7497144117228146,0.8088314416792937,0.6940276971397831,0.17064791208603863,0.1050349448588396,0.431312574679509
s2rgb_to_s2norgb,x8iw6427,59.00804060652239,93.4281416887202,60.289047360728034,90.19887742357854,59.84908003977185,60.35071792054022,54.80661454031826,58.53793159639375,3.1600313019163916e-05,0.00017337968184553366,4.8997457235088255,0.7097803005446879,0.3072381621520701,0.5340239903084207,0.46293472475563646,0.16807736714369503,0.4872093243789688
s2rgb_to_s2norgb,em14ormq,59.00804060652239,95.40885321750602,60.47069045591509,92.91022496097712,59.71136467284738,60.04731461830954,58.19563868202743,59.44492899976065,5.455134430546781e-05,0.00012629185460381832,4.4078689274687815,0.3421425929954226,0.6442493655939445,0.5332537146748104,0.1976072446099185,0.2592740964158349,0.38527016689381566
s2rgb_to_s2norgb,5ij965ja,59.00804060652239,92.6335580450526,60.306875900810475,92.10786645359248,59.48795881796522,60.42480985632193,57.76822738914056,59.61540519703416,4.22650675703423e-05,0.0002823880982259346,1.9231515977105584,0.060142507763001674,0.3616454492331598,0.5917875560328633,0.47964619933871366,0.4872592238243493,0.1016159552098232
s2rgb_to_s2norgb,a28ln1c8,59.00804060652239,93.24971599462792,60.54801729001712,92.78932459214154,60.31400153027631,60.254755828803795,58.122416381062536,59.49301765489928,0.00014649912393803631,2.3593966319509747e-05,1.5077807265110963,0.2989753275183554,0.36065632788509205,0.29432050654059233,0.24178577486420505,0.27936850341175623,0.3627407454608801
s2rgb_to_s2norgb,7owihi99,59.00804060652239,93.34936238689306,59.95849567268131,92.81816463199638,59.19900859605568,59.468830640354895,58.24059612349264,59.32354344595625,0.00033444698693224276,3.0014861329958865e-05,2.3531031405800293,0.6096504116891402,0.7822568873007277,0.4029472590285648,0.1168136609045026,0.3171808326451102,0.25210317569339036
s2rgb_to_s2norgb,jb28hhpm,59.00804060652239,94.91573124821724,60.594344004285695,90.47849086428752,59.84492465004947,60.494854041560366,56.12741706069819,59.170784435104615,1.2616732230016084e-05,1.5890803249893644e-05,2.657360476613906,0.43113363173799335,0.35302710427131534,0.6023180974182292,0.25109985332890356,0.33494702619934236,0.2388238716483928
s2rgb_to_s2norgb,wqikp315,59.00804060652239,94.47209975298712,60.252771637615,89.6888934090945,59.584499341598416,60.08533426808209,54.83565335304703,58.81389843181567,1.4054111282854167e-05,1.4683480518150933e-05,2.8727455316045054,0.7467650891428244,0.6659235693479494,0.31245653737867674,0.4293613028073966,0.19370999635446903,0.2719177372189049
s2rgb_to_s2norgb,hry7sl3u,,94.45404919359312,60.30363854095702,85.06879206845049,58.972292577454965,59.80731038341938,49.30261027321101,58.29128826062448,1.4891222431872571e-05,3.224917917604279e-05,0.8251359451547746,0.9720467421711456,0.3169328747049909,0.6263437612146435,0.27962844732709213,0.4133971644976847,0.3027626671752824
s2rgb_to_s2norgb,gjvbet4o,59.00804060652239,92.60657815372242,59.74994572024504,92.86555044549472,58.958219571582504,60.09711449458681,58.360897994361736,59.134751965472155,0.0003011772894046896,4.482038737900685e-05,4.733766461553392,0.5973197934030006,0.9353107071007976,0.4552692898345514,0.4457398835637546,0.1998371466493452,0.1449813509242699
s2rgb_to_s2norgb,2m05qrd7,59.00804060652239,95.60802838865207,60.58017794689777,92.6262443496054,59.48515212714922,60.27383666488067,58.49695798535011,59.54232174822515,3.4299074361398486e-05,8.700714854332501e-05,1.621085095641082,0.219511005358899,0.7264595772810889,0.5788387669687273,0.12828453891619562,0.2987565757014945,0.2207329043722689
s2rgb_to_s2norgb,eo1fw17a,59.00804060652239,91.84689473428784,59.344208461147886,91.9019285128518,58.60618408716891,60.07678792901413,57.32269122300375,58.927332174063274,0.00014466687679088466,4.782098064373448e-05,1.2891246081842374,0.900867892060112,0.1801498003718877,0.6523988568725188,0.48379738002366424,0.16204116610382396,0.12652275476971467
