wandb_run_id,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
ljsbcw9y,dfc2020,s1,s2,43.29,0.000414988382448088,1.0,0.00010474154278780313,100,0.2727085855900189,0.1815746783759538,0.5,False,False,True,0.3749195876817087,0.20207058056523663,0.23896779833025103,151848208,distill+latent+prefusion+ce,41.42,44.65,48.27,40.74,46.60,42.66,44.01,45.34,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_ljsbcw9y_0502_0751.pt
zvdbpsgx,dfc2020,s1,s2,43.29,2.201480197882503e-05,1.0,0.0059407657186349465,100,0.3820173525535663,0.1617776473219272,0.5,False,False,True,0.10885339673785788,0.27076920802089954,0.026844404356301643,151848208,distill+latent+prefusion+ce,41.14,46.78,47.96,43.56,44.87,45.15,43.01,46.63,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_zvdbpsgx_0502_0751.pt
8m5wn3ea,dfc2020,s1,s2,43.29,0.0001265508678448868,1.0,3.236046140477935e-05,100,0.35460838811355255,0.1271186919516581,0.5,False,False,True,0.40940026862453505,0.521155522103552,0.35893709240882565,151848208,distill+latent+prefusion+ce,41.64,46.07,48.48,41.99,47.30,44.55,44.41,45.47,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_8m5wn3ea_0502_0752.pt
6l5ef5bp,dfc2020,s1,s2,43.29,3.65471333064909e-05,1.0,5.600558845688091e-05,100,0.3176710349313049,0.28379608582725635,0.5,False,False,True,0.3713911987299984,0.4334999861661096,0.436273136218457,151848208,distill+latent+prefusion+ce,40.76,45.56,47.85,42.18,46.32,41.87,43.44,44.36,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_6l5ef5bp_0502_0752.pt
m7lvrxkt,dfc2020,s1,s2,43.29,0.0006437016134754748,1.0,0.02158476770156879,100,0.1955474369161222,0.42917885655692867,0.5,False,False,True,0.3699263474787085,0.9572538816567524,0.5213791971657008,151848208,distill+latent+prefusion+ce,39.97,48.29,48.46,39.95,46.72,43.51,43.25,47.53,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_m7lvrxkt_0502_0754.pt
hbqadss9,dfc2020,s1,s2,43.29,2.634835142549725e-05,1.0,0.00014203986923069334,100,0.3635979171825504,0.167841123891901,0.5,False,False,True,0.26911574594589915,0.9709762291972106,0.8591859283141957,151848208,distill+latent+prefusion+ce,41.35,45.80,48.62,43.58,47.10,42.24,44.19,45.64,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_hbqadss9_0502_0754.pt
yndl4oqh,dfc2020,s1,s2,43.29,1.6459099419596643e-05,1.0,1.99241118840836e-05,100,0.12946930842595636,0.3243381056786613,0.5,False,False,True,0.46808934087738463,0.934055438351506,0.5614264555260304,151848208,distill+latent+prefusion+ce,40.98,46.17,47.93,43.21,44.71,43.73,42.53,46.36,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_yndl4oqh_0502_0754.pt
ma4my5dd,dfc2020,s1,s2,43.29,1.8503734616136035e-05,1.0,0.0002644552997447552,100,0.12928837125880316,0.1544879233532898,0.5,False,False,True,0.05952058217557632,0.6744176373348806,0.386896830987384,151848208,distill+latent+prefusion+ce,40.84,47.70,48.28,43.22,45.21,43.42,42.87,45.89,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_ma4my5dd_0502_0758.pt
0jw3z7v2,dfc2020,s1,s2,43.29,1.7897001246582212e-05,1.0,5.2850623521532715e-05,100,0.1486506441503783,0.22293741521851185,0.5,False,False,True,0.3687523195156132,0.5775492019866083,0.24283529226150813,151848208,distill+latent+prefusion+ce,40.83,46.56,47.93,43.96,44.22,45.28,42.47,45.51,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_0jw3z7v2_0502_0759.pt
fqfoclnl,dfc2020,s1,s2,43.29,0.0001521287744770711,1.0,0.004076854197578619,100,0.458036322975476,0.18557405272472227,0.5,False,False,True,0.4364533382740844,0.3021632441938291,0.7642100829986772,151848208,distill+latent+prefusion+ce,41.45,45.31,48.60,44.38,47.37,43.42,44.41,45.81,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_fqfoclnl_0502_0759.pt
