model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
panopticon,dfc2020,s2_rgb,fft,20,0.001,0.0,32,mIoU,56.8452,56.2818,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.0005,0.01,32,mIoU,57.2324,56.0524,98982152,
panopticon,dfc2020,s2,fft,20,0.0001,0.01,32,mIoU,58.1549,57.6469,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.0005,0.0001,32,mIoU,56.6054,56.2190,98982152,
panopticon,dfc2020,s2,fft,20,0.0001,0.0001,32,mIoU,57.6527,57.8820,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.0005,0.0,32,mIoU,56.6980,56.3787,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.0001,0.01,32,mIoU,55.7096,55.3201,98982152,
panopticon,dfc2020,s2,fft,20,0.0001,0.0,32,mIoU,57.7966,57.2523,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.0001,0.0001,32,mIoU,56.4455,55.9267,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.0001,0.0,32,mIoU,56.2748,55.2096,98982152,
panopticon,dfc2020,s2_norgb,fft,20,0.001,0.01,32,mIoU,58.8451,58.3687,98982152,
panopticon,dfc2020,s2_norgb,fft,20,0.001,0.0001,32,mIoU,58.8633,58.3700,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.001,0.01,32,mIoU,57.7081,56.9017,98982152,
panopticon,dfc2020,s2_norgb,fft,20,0.001,0.0,32,mIoU,58.3924,58.0917,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.001,0.0001,32,mIoU,57.3637,57.1266,98982152,
panopticon,dfc2020,s2_norgb,fft,20,0.0005,0.01,32,mIoU,58.5648,58.1871,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.001,0.0,32,mIoU,57.1822,56.5817,98982152,
panopticon,dfc2020,s2_norgb,fft,20,0.0005,0.0001,32,mIoU,58.8171,58.2218,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.0005,0.01,32,mIoU,57.1606,57.0613,98982152,
panopticon,dfc2020,s2_norgb,fft,20,0.0005,0.0,32,mIoU,58.5584,57.8804,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.0005,0.0001,32,mIoU,57.2702,56.8597,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.0005,0.0,32,mIoU,57.2495,56.9134,98982152,
panopticon,dfc2020,s2_norgb,fft,20,0.0001,0.01,32,mIoU,57.7233,57.2742,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.0001,0.01,32,mIoU,56.3804,56.1908,98982152,
panopticon,dfc2020,s2_norgb,fft,20,0.0001,0.0001,32,mIoU,57.3296,56.8202,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.0001,0.0001,32,mIoU,56.6219,56.0387,98982152,
panopticon,dfc2020,s2_norgb,fft,20,0.0001,0.0,32,mIoU,57.3584,57.4898,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.0001,0.0,32,mIoU,56.5578,56.5128,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.01,32,mIoU,58.7731,58.2625,98982152,
olmoearth-base,dfc2020,s2,fft,20,0.001,0.01,32,mIoU,61.3725,62.0613,88962056,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.0001,32,mIoU,58.9814,58.3886,98982152,
olmoearth-base,dfc2020,s1,fft,20,0.001,0.01,32,mIoU,52.7173,52.7629,88962056,
olmoearth-base,dfc2020,s2,fft,20,0.001,0.0001,32,mIoU,61.6489,62.2337,88962056,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.0,32,mIoU,59.0593,58.7941,98982152,
olmoearth-base,dfc2020,s1,fft,20,0.001,0.0001,32,mIoU,53.3964,53.2331,88962056,
olmoearth-base,dfc2020,s2,fft,20,0.001,0.0,32,mIoU,61.6631,61.6991,88962056,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.01,32,mIoU,58.6934,58.0780,98982152,
olmoearth-base,dfc2020,s1,fft,20,0.001,0.0,32,mIoU,53.6461,52.7580,88962056,
olmoearth-base,dfc2020,s2,fft,20,0.0005,0.01,32,mIoU,60.9326,61.3241,88962056,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.0001,32,mIoU,58.7818,58.4445,98982152,
olmoearth-base,dfc2020,s2,fft,20,0.0005,0.0001,32,mIoU,60.8152,61.4764,88962056,
olmoearth-base,dfc2020,s1,fft,20,0.0005,0.01,32,mIoU,54.0175,52.7333,88962056,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.0,32,mIoU,58.4804,57.9434,98982152,
olmoearth-base,dfc2020,s2,fft,20,0.0005,0.0,32,mIoU,60.4368,61.0257,88962056,
olmoearth-base,dfc2020,s1,fft,20,0.0005,0.0001,32,mIoU,53.6829,52.6666,88962056,
olmoearth-base,dfc2020,s2,fft,20,0.0001,0.01,32,mIoU,56.8688,56.7616,88962056,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0001,0.01,32,mIoU,57.8085,57.2664,98982152,
olmoearth-base,dfc2020,s1,fft,20,0.0005,0.0,32,mIoU,53.2442,52.6939,88962056,
olmoearth-base,dfc2020,s2,fft,20,0.0001,0.0001,32,mIoU,56.7274,56.8426,88962056,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0001,0.0001,32,mIoU,57.7252,57.2612,98982152,
olmoearth-base,dfc2020,s2,fft,20,0.0001,0.0,32,mIoU,56.7658,56.4104,88962056,
olmoearth-base,dfc2020,s1,fft,20,0.0001,0.01,32,mIoU,50.0181,49.7793,88962056,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0001,0.0,32,mIoU,57.6776,57.1832,98982152,
olmoearth-base,dfc2020,s1,fft,20,0.0001,0.0001,32,mIoU,50.4200,50.3202,88962056,
olmoearth-base,dfc2020,s1,fft,20,0.0001,0.0,32,mIoU,49.4191,49.1359,88962056,
olmoearth-base,dfc2020,s2_rgb,fft,20,0.001,0.01,32,mIoU,58.3484,59.3311,88962056,
olmoearth-base,dfc2020,s2_rgb,fft,20,0.001,0.0001,32,mIoU,58.9289,59.2146,88962056,
olmoearth-base,dfc2020,s2_rgb,fft,20,0.001,0.0,32,mIoU,58.4716,58.6368,88962056,
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0005,0.01,32,mIoU,57.4639,58.2741,88962056,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.001,0.01,32,mIoU,63.0198,63.1378,88962056,
olmoearth-base,dfc2020,s2s1,fft,20,0.001,0.01,32,mIoU,63.0079,62.6324,88962056,
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0005,0.0001,32,mIoU,57.9339,58.1211,88962056,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.001,0.0001,32,mIoU,63.0825,62.9368,88962056,
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0005,0.0,32,mIoU,58.1026,58.2553,88962056,
olmoearth-base,dfc2020,s2s1,fft,20,0.001,0.0001,32,mIoU,63.1223,62.7592,88962056,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.001,0.0,32,mIoU,63.2714,63.1910,88962056,
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0001,0.01,32,mIoU,51.7289,52.0905,88962056,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.0005,0.01,32,mIoU,62.9102,62.7695,88962056,
olmoearth-base,dfc2020,s2s1,fft,20,0.001,0.0,32,mIoU,62.8365,62.2619,88962056,
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0001,0.0001,32,mIoU,50.8581,51.4918,88962056,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.0005,0.0001,32,mIoU,62.9169,62.9628,88962056,
olmoearth-base,dfc2020,s2s1,fft,20,0.0005,0.01,32,mIoU,61.7319,61.1725,88962056,
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0001,0.0,32,mIoU,51.7316,51.8024,88962056,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.0005,0.0,32,mIoU,63.0888,62.5388,88962056,
olmoearth-base,dfc2020,s2s1,fft,20,0.0005,0.0001,32,mIoU,61.8483,61.3840,88962056,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.0001,0.01,32,mIoU,60.0061,60.4886,88962056,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.0001,0.0001,32,mIoU,60.0975,60.5157,88962056,
olmoearth-base,dfc2020,s2s1,fft,20,0.0005,0.0,32,mIoU,62.1121,61.6165,88962056,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.0001,0.0,32,mIoU,60.6453,60.7196,88962056,
olmoearth-base,dfc2020,s2s1,fft,20,0.0001,0.01,32,mIoU,57.9514,57.5508,88962056,
olmoearth-base,dfc2020,s2s1,fft,20,0.0001,0.0001,32,mIoU,59.1225,58.7399,88962056,
olmoearth-base,dfc2020,s2s1,fft,20,0.0001,0.0,32,mIoU,58.4434,58.3061,88962056,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.01,32,mIoU,63.0572,63.0986,88962056,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.0001,32,mIoU,62.8014,62.6731,88962056,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.0,32,mIoU,62.7954,62.8449,88962056,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.01,32,mIoU,62.6323,62.6151,88962056,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.0001,32,mIoU,62.1815,62.4739,88962056,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.0,32,mIoU,62.3976,62.4257,88962056,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.0001,0.01,32,mIoU,58.3741,58.5690,88962056,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.0001,0.0001,32,mIoU,59.6844,58.8991,88962056,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.0001,0.0,32,mIoU,58.4010,58.4070,88962056,
panopticon,biomassters,s1,fft,24,0.0005,0.01,8,RMSE,74.4397,75.5813,98976769,
panopticon,biomassters,s2,fft,24,0.0005,0.01,8,RMSE,75.3895,77.1896,98976769,
panopticon,biomassters,s1,fft,24,0.0001,0.01,8,RMSE,71.4057,72.7141,98976769,
panopticon,biomassters,s2,fft,24,0.0001,0.01,8,RMSE,75.2915,75.9331,98976769,
panopticon,biomassters,s2_rgb,fft,24,0.0005,0.01,8,RMSE,74.0610,75.4112,98976769,
panopticon,biomassters,s2_norgb,fft,24,0.0005,0.01,8,RMSE,68.8986,70.0210,98976769,
panopticon,biomassters,s2_rgb,fft,24,0.0001,0.01,8,RMSE,71.2233,72.8958,98976769,
panopticon,biomassters,s2_rgb+s1,fft,24,0.0005,0.01,8,RMSE,73.9614,75.1626,98976769,
panopticon,biomassters,s2s1,fft,24,0.0005,0.01,8,RMSE,66.6865,67.7829,98976769,
panopticon,biomassters,s2_norgb,fft,24,0.0001,0.01,8,RMSE,76.2588,77.3409,98976769,
panopticon,biomassters,s2_rgb+s1,fft,24,0.0001,0.01,8,RMSE,66.9386,68.7948,98976769,
panopticon,biomassters,s2_rgb+s2_norgb,fft,24,0.0005,0.01,8,RMSE,73.8961,75.6080,98976769,
panopticon,biomassters,s2_rgb+s2_norgb,fft,24,0.0001,0.01,8,RMSE,73.1455,74.7995,98976769,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.001,0.01,32,mIoU,57.1941,56.6240,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.01,32,mIoU,59.0120,58.3857,98982152,
panopticon,dfc2020,s2s1,fft,20,0.001,0.01,32,mIoU,58.8606,58.1499,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.001,0.0001,32,mIoU,57.3241,56.7115,98982152,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.01,32,mIoU,62.5798,63.0844,88962056,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.0001,32,mIoU,58.8614,58.0330,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.001,0.0,32,mIoU,57.2925,57.0099,98982152,
panopticon,dfc2020,s2s1,fft,20,0.001,0.0001,32,mIoU,58.9092,58.2303,98982152,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.0001,32,mIoU,63.1043,63.1256,88962056,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.0005,0.01,32,mIoU,57.4660,56.5736,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.0,32,mIoU,59.1973,58.4535,98982152,
panopticon,dfc2020,s2s1,fft,20,0.001,0.0,32,mIoU,59.1414,58.3896,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.0005,0.0001,32,mIoU,57.1575,56.6980,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.01,32,mIoU,58.9204,58.4541,98982152,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.0,32,mIoU,62.5477,63.0396,88962056,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.0005,0.0,32,mIoU,57.4491,56.9291,98982152,
panopticon,dfc2020,s2s1,fft,20,0.0005,0.01,32,mIoU,58.9294,58.1745,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.0001,0.01,32,mIoU,57.1752,56.4726,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.0001,32,mIoU,58.9022,58.7049,98982152,
panopticon,dfc2020,s2s1,fft,20,0.0005,0.0001,32,mIoU,58.7939,58.0601,98982152,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.01,32,mIoU,62.5088,62.4102,88962056,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.0001,0.0001,32,mIoU,56.3481,55.5241,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.0,32,mIoU,58.7576,57.7886,98982152,
panopticon,dfc2020,s2s1,fft,20,0.0005,0.0,32,mIoU,58.4728,57.9301,98982152,
panopticon,dfc2020,s2_rgb+s1,fft,20,0.0001,0.0,32,mIoU,56.0986,55.8819,98982152,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.0001,32,mIoU,62.1598,61.8688,88962056,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0001,0.01,32,mIoU,57.6711,57.3939,98982152,
panopticon,dfc2020,s2s1,fft,20,0.0001,0.01,32,mIoU,57.3899,56.6710,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0001,0.0001,32,mIoU,57.6412,57.2997,98982152,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.0,32,mIoU,62.3600,62.7317,88962056,
panopticon,dfc2020,s2s1,fft,20,0.0001,0.0001,32,mIoU,57.6320,57.2090,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0001,0.0,32,mIoU,57.5411,57.1274,98982152,
panopticon,dfc2020,s2s1,fft,20,0.0001,0.0,32,mIoU,57.9060,57.7793,98982152,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.0001,0.01,32,mIoU,58.4887,58.8508,88962056,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.0001,0.0001,32,mIoU,58.5815,58.5837,88962056,
olmoearth-base,dfc2020,s2_rgb+s2_norgb,fft,20,0.0001,0.0,32,mIoU,58.6400,58.8761,88962056,
panopticon,benv2,s2_rgb+s1,fft,20,0.001,0.01,32,mAP,64.0296,58.7734,98990611,
olmoearth-base,benv2,s2_rgb+s2_norgb,fft,20,0.001,0.01,32,mAP,72.3789,67.2153,88970515,
panopticon,benv2,s2_rgb+s1,fft,20,0.001,0.0001,32,mAP,64.0245,60.9342,98990611,
olmoearth-base,benv2,s2_rgb+s2_norgb,fft,20,0.001,0.0001,32,mAP,71.9135,68.5599,88970515,
panopticon,benv2,s2_rgb+s1,fft,20,0.001,0.0,32,mAP,64.1461,57.9740,98990611,
olmoearth-large,benv2,s2_rgb+s2_norgb,fft,20,0.001,0.01,32,mAP,72.6231,69.2756,307792915,
panopticon,benv2,s2_rgb+s1,fft,20,0.0005,0.01,32,mAP,64.8934,59.3747,98990611,
olmoearth-base,benv2,s2_rgb+s2_norgb,fft,20,0.001,0.0,32,mAP,72.3259,67.7385,88970515,
panopticon,benv2,s2_rgb+s1,fft,20,0.0005,0.0001,32,mAP,64.5692,58.7391,98990611,
olmoearth-base,benv2,s2_rgb+s2_norgb,fft,20,0.0005,0.01,32,mAP,73.7307,68.2084,88970515,
panopticon,benv2,s2_rgb+s1,fft,20,0.0005,0.0,32,mAP,64.7593,60.3910,98990611,
olmoearth-base,benv2,s2_rgb+s2_norgb,fft,20,0.0005,0.0001,32,mAP,73.2756,68.3461,88970515,
panopticon,benv2,s2_rgb+s1,fft,20,0.0001,0.01,32,mAP,63.6855,60.1333,98990611,
olmoearth-large,benv2,s2_rgb+s2_norgb,fft,20,0.001,0.0001,32,mAP,72.1057,67.9298,307792915,
olmoearth-base,benv2,s2_rgb+s2_norgb,fft,20,0.0005,0.0,32,mAP,73.7795,68.3032,88970515,
panopticon,benv2,s2_rgb+s1,fft,20,0.0001,0.0001,32,mAP,64.3223,60.7520,98990611,
panopticon,benv2,s2_rgb+s1,fft,20,0.0001,0.0,32,mAP,64.7660,60.2473,98990611,
olmoearth-base,benv2,s2_rgb+s2_norgb,fft,20,0.0001,0.01,32,mAP,73.6837,68.1780,88970515,
olmoearth-large,benv2,s2_rgb+s2_norgb,fft,20,0.001,0.0,32,mAP,72.6300,69.1796,307792915,
olmoearth-base,benv2,s2_rgb+s2_norgb,fft,20,0.0001,0.0001,32,mAP,74.3448,70.0841,88970515,
olmoearth-base,benv2,s2_rgb+s2_norgb,fft,20,0.0001,0.0,32,mAP,74.5186,69.4556,88970515,
olmoearth-large,benv2,s2_rgb+s2_norgb,fft,20,0.0005,0.01,32,mAP,74.4444,68.8931,307792915,
olmoearth-large,benv2,s2_rgb+s2_norgb,fft,20,0.0005,0.0001,32,mAP,72.7294,67.0289,307792915,
panopticon,benv2,s2_rgb+s2_norgb,fft,20,0.001,0.01,32,mAP,66.5087,60.0632,98990611,
olmoearth-base,dfc2020,s2_rgb+s1,fft,20,0.001,0.0001,16,mIoU,62.5610,62.3780,88962056,
olmoearth-base,dfc2020,s2_rgb+s1,fft,20,0.001,0.01,16,mIoU,62.2326,62.1362,88962056,
olmoearth-base,dfc2020,s2_rgb+s1,fft,20,0.001,0.0,16,mIoU,62.6033,62.3266,88962056,
olmoearth-base,dfc2020,s2_rgb+s1,fft,20,0.0005,0.01,16,mIoU,62.0870,61.5361,88962056,
olmoearth-base,dfc2020,s2_rgb+s1,fft,20,0.0005,0.0001,16,mIoU,62.2085,61.8423,88962056,
olmoearth-base,dfc2020,s2_rgb+s1,fft,20,0.0005,0.0,16,mIoU,62.3635,61.4003,88962056,
olmoearth-base,dfc2020,s2_rgb+s1,fft,20,0.0001,0.01,16,mIoU,58.3497,57.7678,88962056,
olmoearth-base,dfc2020,s2_rgb+s1,fft,20,0.0001,0.0001,16,mIoU,58.2361,57.4469,88962056,
olmoearth-base,dfc2020,s2_rgb+s1,fft,20,0.0001,0.0,16,mIoU,58.1906,57.8520,88962056,
olmoearth-base,benv2,s2_rgb+s1,fft,20,0.001,0.0001,16,mAP,67.9375,61.1365,88970515,
olmoearth-base,benv2,s2_rgb+s1,fft,20,0.001,0.01,16,mAP,68.1042,61.7456,88970515,
olmoearth-base,benv2,s2_rgb+s1,fft,20,0.001,0.0,16,mAP,67.4732,61.8617,88970515,
olmoearth-base,benv2,s2_rgb+s1,fft,20,0.0005,0.01,16,mAP,68.0719,62.9719,88970515,
olmoearth-base,benv2,s2_rgb+s1,fft,20,0.0005,0.0,16,mAP,68.1599,61.6565,88970515,
olmoearth-base,benv2,s2_rgb+s1,fft,20,0.0001,0.0,16,mAP,67.3458,62.4913,88970515,
olmoearth-base,benv2,s2_rgb+s1,fft,20,0.0001,0.01,16,mAP,66.8889,62.2856,88970515,
olmoearth-base,benv2,s2_rgb+s1,fft,20,0.0005,0.0001,16,mAP,68.3140,63.2136,88970515,
olmoearth-base,benv2,s2_rgb+s1,fft,20,0.0001,0.0001,16,mAP,67.2698,62.1461,88970515,
panopticon,benv2,s2_rgb+s2_norgb,fft,20,0.0001,0.0,32,mAP,65.4687,61.2677,98990611,
