wandb_run_id,starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,use_mae,use_latent,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
o7jdejod,nir,swir,0.00028838657295711536,0.00757600678832088,64,0.6603360265697443,0.4642132869257984,0.8452021429263166,0.357347940403,True,True,47172628,prefusion+distill+ce+mae+latent,71.67,80.54,77.00,77.22,74.33,76.72,73.91,82.48,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_o7jdejod_0204_0022.pt
wavdzzpg,vre,swir,0.00010600058864175806,0.0002904091165869715,64,0.7974216810656007,0.20084223707600204,0.3271961004716213,0.9982872338100354,True,True,47369492,prefusion+distill+ce+mae+latent,82.33,83.13,87.41,88.72,91.33,88.15,84.59,89.30,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_wavdzzpg_0204_0026.pt
2pq10st3,rgb,swir,0.00020458045575262024,0.0013156154775902085,64,0.8091123861435084,0.4643240759636361,0.08658369229234283,0.05666748150541834,True,True,47369492,prefusion+distill+ce+mae+latent,78.89,83.33,85.96,86.76,83.59,84.96,81.78,89.56,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_2pq10st3_0204_0028.pt
d5esz1m7,rgb,swir,0.000792693420345132,0.0067091068533963434,64,0.4481243418619103,0.2524604807933713,0.6528992601670953,0.5780252403870938,True,True,47369492,prefusion+distill+ce+mae+latent,78.19,81.52,88.93,89.59,87.56,90.04,83.56,90.98,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_d5esz1m7_0204_0032.pt
5el6ljrn,vre,nir,0.00014256551036412652,0.0002615774994178968,64,0.7069704467580689,0.16473050912473833,0.4332291464410698,0.5779588579408244,True,True,47172628,prefusion+distill+ce+mae+latent,69.44,71.57,89.67,90.06,92.93,89.04,79.50,89.43,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_5el6ljrn_0204_0033.pt
k0k9g7n3,rgb,swir,0.00020935367452384033,0.0009561446256234092,64,0.7776610412210514,0.16778529970698722,0.4030062856510314,0.38987249229567855,True,True,47369492,prefusion+distill+ce+mae+latent,77.93,82.07,87.81,88.26,82.11,83.31,82.87,91.26,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_k0k9g7n3_0204_0033.pt
62pozit9,vre,rgb,2.076407304682732e-05,1.3375963526681428e-05,64,0.23674755910514855,0.29293223247479305,0.2942597026631584,0.35775351895816276,True,True,47369492,prefusion+distill+ce+mae+latent,71.96,73.56,89.26,89.93,95.96,89.02,80.50,89.35,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_62pozit9_0204_0035.pt
vg17aa9c,rgb,swir,3.031655471531716e-05,0.016615691245788707,64,0.31177155091132014,0.16926635421032113,0.7999739907301284,0.5894161503546732,True,True,47369492,prefusion+distill+ce+mae+latent,76.26,80.39,88.15,88.74,89.56,88.26,82.17,90.52,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_vg17aa9c_0204_0036.pt
05rhds39,vre,swir,0.0001218718098232111,0.0006256559610419903,64,0.7374130030952021,0.1433821183821461,0.3978346455637971,0.4038193723418315,True,True,47369492,prefusion+distill+ce+mae+latent,82.56,82.63,90.04,89.48,92.67,89.04,85.96,89.87,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_05rhds39_0204_0037.pt
ikf921lj,vre,swir,4.229292156848284e-05,0.009932381878743369,64,0.6318284335745382,0.28378133722652504,0.3929081105570448,0.17790240839358074,True,True,47369492,prefusion+distill+ce+mae+latent,83.26,83.63,89.78,90.28,93.74,88.83,86.35,89.96,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_ikf921lj_0204_0038.pt
14edo8cs,nir,vre,5.701811946386134e-05,0.0979337146365628,64,0.4567168486959921,0.4947797293388799,0.8738755467155858,0.04169321674511573,True,True,47172628,prefusion+distill+ce+mae+latent,76.07,79.81,79.15,80.46,78.15,78.57,77.61,82.02,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_14edo8cs_0204_0040.pt
1fg72zel,vre,nir,0.00016061631639571405,3.0328277620835004e-05,64,0.7746347263319707,0.236781395682102,0.4042007074635872,0.17426374775121745,True,True,47172628,prefusion+distill+ce+mae+latent,70.56,73.93,90.89,90.43,92.33,89.80,80.72,89.56,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_1fg72zel_0204_0041.pt
pvo2ccs4,vre,swir,0.0006223749320576855,0.00013817158510956155,64,0.152926594883039,0.44576512666611856,0.5736279714012286,0.16726927573820582,True,True,47369492,prefusion+distill+ce+mae+latent,83.70,85.24,89.44,89.44,91.59,90.37,86.52,90.13,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_pvo2ccs4_0204_0045.pt
8phc9uus,vre,nir,0.00011795184626853712,0.018181940600287307,64,0.2607761908953708,0.32252990708180895,0.3098983974157062,0.8166902524691899,True,True,47172628,prefusion+distill+ce+mae+latent,72.89,75.31,90.19,90.48,93.81,89.48,81.44,89.72,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_8phc9uus_0204_0047.pt
efom0kla,vre,rgb,2.8674695252503206e-05,0.037475726980029184,64,0.8927280294278435,0.496692470826224,0.7122865323597597,0.14959687925455256,True,True,47369492,prefusion+distill+ce+mae+latent,80.22,83.19,90.44,90.15,94.48,88.78,85.33,90.91,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_efom0kla_0204_0048.pt
9zfowrj2,vre,rgb,0.00022630398657352716,1.1396541842362688e-05,64,0.47772655512760087,0.4532668868177871,0.30283867155327765,0.06309875066280934,True,True,47369492,prefusion+distill+ce+mae+latent,83.41,86.61,89.85,90.04,92.74,89.48,86.30,91.70,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_9zfowrj2_0204_0050.pt
v9wqnfg9,vre,swir,0.0006843341641268626,2.5082136499323432e-05,64,0.379866034541831,0.4625951260592206,0.5008157990328181,0.6806763000672209,True,True,47369492,prefusion+distill+ce+mae+latent,83.74,83.93,89.59,88.44,90.30,89.28,86.67,89.72,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_v9wqnfg9_0204_0055.pt
9hotucd4,vre,rgb,1.0568788382039693e-05,0.00023185966729725503,64,0.7811247209763544,0.26451138894832593,0.6682470960461576,0.1553873524648377,True,True,47369492,prefusion+distill+ce+mae+latent,69.56,70.48,89.26,89.94,93.19,88.26,79.37,89.26,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_9hotucd4_0204_0057.pt
zqkdwl2w,swir,rgb,8.203779103016158e-05,0.00014000972509046336,64,0.5945051373349574,0.4141258456977417,0.7259677472733157,0.7953707036248695,True,True,47369492,prefusion+distill+ce+mae+latent,77.48,82.98,86.44,86.28,91.67,85.65,81.69,89.31,checkpoints/swir_randinit_fft.pt,checkpoints/sweep_zqkdwl2w_0204_0057.pt
45a1yl5p,swir,rgb,0.0005276132327941461,0.0004103400570068783,64,0.5526114515359748,0.13187877260238,0.4460961029916704,0.44558041217562816,True,True,47369492,prefusion+distill+ce+mae+latent,73.56,77.17,85.81,84.24,86.74,85.72,79.69,86.67,checkpoints/swir_randinit_fft.pt,checkpoints/sweep_45a1yl5p_0204_0100.pt
kbsq8t5u,swir,rgb,0.0003119001208737498,0.00015952438054459418,64,0.2628766869104313,0.17609601616676274,0.24955025836413444,0.06372264850974696,True,True,47369492,prefusion+distill+ce+mae+latent,79.30,83.15,85.44,85.74,89.48,85.76,81.89,87.91,checkpoints/swir_randinit_fft.pt,checkpoints/sweep_kbsq8t5u_0204_0103.pt
srsjcruy,swir,rgb,0.0002717126672465462,1.3434618407098049e-05,64,0.8808738086223721,0.24001984433116175,0.32011157365883713,0.24012207450619616,True,True,47369492,prefusion+distill+ce+mae+latent,78.00,82.02,85.56,85.37,86.96,85.13,80.63,88.30,checkpoints/swir_randinit_fft.pt,checkpoints/sweep_srsjcruy_0204_0103.pt
4yqd0k3x,vre,swir,0.0001343273052236862,5.818676594199371e-05,64,0.2914518992246763,0.2737309159239303,0.4396379625898068,0.6562784605449147,True,True,47369492,prefusion+distill+ce+mae+latent,83.81,83.70,90.59,90.41,93.96,89.11,87.11,90.31,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_4yqd0k3x_0204_0104.pt
v10f3x4m,swir,nir,2.811346289181788e-05,0.02815373380652196,64,0.3471612906261126,0.2784154524141141,0.6474048498518487,0.892133227830851,True,True,47172628,prefusion+distill+ce+mae+latent,65.37,66.96,86.00,85.46,93.15,84.87,75.69,86.50,checkpoints/swir_randinit_fft.pt,checkpoints/sweep_v10f3x4m_0204_0105.pt
d6v56ya9,swir,nir,0.00023903502427813963,0.0001837910892814913,64,0.4987975908019887,0.18906032443475915,0.8222930353721776,0.9031098005519816,True,True,47172628,prefusion+distill+ce+mae+latent,68.00,70.93,84.96,85.15,87.52,84.93,76.48,87.26,checkpoints/swir_randinit_fft.pt,checkpoints/sweep_d6v56ya9_0204_0106.pt
1el1zkz1,swir,nir,1.239294937282368e-05,0.002798679654624115,64,0.33569462248462956,0.2148384306893905,0.205459257495905,0.8259030980486305,True,True,47172628,prefusion+distill+ce+mae+latent,58.00,59.33,85.15,85.41,93.96,84.19,71.22,85.20,checkpoints/swir_randinit_fft.pt,checkpoints/sweep_1el1zkz1_0204_0109.pt
enpbhqzp,swir,nir,0.0004478036973825533,0.025087886640953093,64,0.3412402063086001,0.369801727426744,0.0971075076807682,0.4965069081836292,True,True,47172628,prefusion+distill+ce+mae+latent,71.33,74.00,84.78,84.50,87.04,85.11,77.48,86.31,checkpoints/swir_randinit_fft.pt,checkpoints/sweep_enpbhqzp_0204_0111.pt
ai1hxnnd,nir,rgb,0.0006338550895357635,2.893378007820934e-05,64,0.14355626451038514,0.14696810572980668,0.48599520468603186,0.9352998619670596,True,True,47172628,prefusion+distill+ce+mae+latent,63.74,74.39,75.37,76.96,78.19,79.41,69.50,84.00,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_ai1hxnnd_0204_0111.pt
msrymwku,swir,nir,3.709977078498325e-05,0.005729908459029933,64,0.7792610891701046,0.28587490683744854,0.5277753236354881,0.501278599432558,True,True,47172628,prefusion+distill+ce+mae+latent,67.74,70.81,86.59,86.44,91.26,85.09,77.00,87.00,checkpoints/swir_randinit_fft.pt,checkpoints/sweep_msrymwku_0204_0112.pt
y6ro6tiy,nir,rgb,0.00011015961652168022,0.0002458219999324394,64,0.5170794086672746,0.2666613694437401,0.4698982301657481,0.8045061571291219,True,True,47172628,prefusion+distill+ce+mae+latent,67.07,78.89,76.67,77.74,71.59,74.35,71.67,84.81,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_y6ro6tiy_0204_0113.pt
