checkpoint,num_supervised_epochs,starting_modality,supported_modalities,eval_type,distillation,real_modality,hallucinated_modality,test_acc,best_test_acc
checkpoints/vre_to_rgb_jan27c.pt,16,vre,vre+rgb,delulu-peeking,distill_only,vre,rgb,90.11111111111111,90.27777777777777
checkpoints/rgb_to_vre_jan27c.pt,16,rgb,rgb+vre,delulu-transfer,none,vre,rgb,97.42592592592592,97.70370370370371
checkpoints/rgb_to_vre_jan27c.pt,16,rgb,rgb+vre,delulu-addition,none,rgb+vre,,98.68518518518519,98.77777777777777
checkpoints/rgb_to_vre_jan27c.pt,16,rgb,rgb+vre,delulu-peeking,none,rgb,vre,98.51851851851852,98.66666666666667
checkpoints/rgb_to_vre_jan27c.pt,16,rgb,rgb+vre,delulu-transfer,alternating,vre,rgb,97.62962962962963,97.62962962962963
checkpoints/rgb_to_vre_jan27c.pt,16,rgb,rgb+vre,delulu-addition,alternating,rgb+vre,,98.5925925925926,98.68518518518519
checkpoints/rgb_to_vre_jan27c.pt,16,rgb,rgb+vre,delulu-peeking,alternating,rgb,vre,98.61111111111111,98.74074074074075
checkpoints/rgb_to_vre_jan27c.pt,16,rgb,rgb+vre,delulu-transfer,distill_only,vre,rgb,97.51851851851852,97.62962962962963
checkpoints/rgb_to_vre_jan27c.pt,16,rgb,rgb+vre,delulu-addition,distill_only,rgb+vre,,98.66666666666667,98.66666666666667
checkpoints/rgb_to_vre_jan27c.pt,16,rgb,rgb+vre,delulu-peeking,distill_only,rgb,vre,98.53703703703704,98.57407407407408
checkpoints/nir_to_vre_jan27c.pt,16,nir,nir+vre,delulu-transfer,none,vre,nir,79.29629629629629,79.48148148148148
checkpoints/nir_to_vre_jan27c.pt,16,nir,nir+vre,delulu-addition,none,nir+vre,,79.33333333333333,79.9074074074074
checkpoints/nir_to_vre_jan27c.pt,16,nir,nir+vre,delulu-peeking,none,nir,vre,79.25925925925925,79.5
checkpoints/nir_to_vre_jan27c.pt,16,nir,nir+vre,delulu-transfer,alternating,vre,nir,79.68518518518519,79.68518518518519
checkpoints/nir_to_vre_jan27c.pt,16,nir,nir+vre,delulu-addition,alternating,nir+vre,,79.51851851851852,80.29629629629629
checkpoints/nir_to_vre_jan27c.pt,16,nir,nir+vre,delulu-peeking,alternating,nir,vre,79.51851851851852,79.62962962962963
checkpoints/nir_to_vre_jan27c.pt,16,nir,nir+vre,delulu-transfer,distill_only,vre,nir,79.12962962962963,79.42592592592592
checkpoints/nir_to_vre_jan27c.pt,16,nir,nir+vre,delulu-addition,distill_only,nir+vre,,79.5,79.88888888888889
checkpoints/nir_to_vre_jan27c.pt,16,nir,nir+vre,delulu-peeking,distill_only,nir,vre,79.25925925925925,79.42592592592592
checkpoints/nir_to_rgb_jan27c.pt,16,nir,nir+rgb,delulu-transfer,none,rgb,nir,83.22222222222223,83.81481481481481
checkpoints/nir_to_rgb_jan27c.pt,16,nir,nir+rgb,delulu-addition,none,nir+rgb,,84.0925925925926,85.61111111111111
checkpoints/nir_to_rgb_jan27c.pt,16,nir,nir+rgb,delulu-peeking,none,nir,rgb,80.79629629629629,80.79629629629629
checkpoints/nir_to_rgb_jan27c.pt,16,nir,nir+rgb,delulu-transfer,alternating,rgb,nir,83.79629629629629,83.81481481481481
checkpoints/nir_to_rgb_jan27c.pt,16,nir,nir+rgb,delulu-addition,alternating,nir+rgb,,84.98148148148148,85.77777777777777
checkpoints/nir_to_rgb_jan27c.pt,16,nir,nir+rgb,delulu-peeking,alternating,nir,rgb,80.48148148148148,81.01851851851852
checkpoints/nir_to_rgb_jan27c.pt,16,nir,nir+rgb,delulu-transfer,distill_only,rgb,nir,83.92592592592592,84.01851851851852
checkpoints/nir_to_rgb_jan27c.pt,16,nir,nir+rgb,delulu-addition,distill_only,nir+rgb,,85.44444444444444,85.46296296296296
checkpoints/nir_to_rgb_jan27c.pt,16,nir,nir+rgb,delulu-peeking,distill_only,nir,rgb,80.61111111111111,80.98148148148148
checkpoints/swir_to_vre_jan27c.pt,16,swir,swir+vre,delulu-transfer,none,vre,swir,87.48148148148148,88.0
checkpoints/swir_to_vre_jan27c.pt,16,swir,swir+vre,delulu-addition,none,swir+vre,,88.79629629629629,88.83333333333333
checkpoints/swir_to_vre_jan27c.pt,16,swir,swir+vre,delulu-peeking,none,swir,vre,88.38888888888889,88.57407407407408
checkpoints/swir_to_vre_jan27c.pt,16,swir,swir+vre,delulu-transfer,alternating,vre,swir,87.62962962962963,88.0
checkpoints/swir_to_vre_jan27c.pt,16,swir,swir+vre,delulu-addition,alternating,swir+vre,,88.79629629629629,89.03703703703704
checkpoints/swir_to_vre_jan27c.pt,16,swir,swir+vre,delulu-peeking,alternating,swir,vre,88.29629629629629,88.55555555555556
checkpoints/swir_to_vre_jan27c.pt,16,swir,swir+vre,delulu-transfer,distill_only,vre,swir,87.79629629629629,88.03703703703704
checkpoints/swir_to_vre_jan27c.pt,16,swir,swir+vre,delulu-addition,distill_only,swir+vre,,88.74074074074075,88.94444444444444
checkpoints/swir_to_vre_jan27c.pt,16,swir,swir+vre,delulu-peeking,distill_only,swir,vre,88.33333333333333,88.57407407407408
checkpoints/rgb_to_nir_jan27c.pt,16,rgb,rgb+nir,delulu-transfer,none,nir,rgb,90.9074074074074,91.35185185185185
checkpoints/rgb_to_nir_jan27c.pt,16,rgb,rgb+nir,delulu-addition,none,rgb+nir,,98.57407407407408,98.72222222222223
checkpoints/rgb_to_nir_jan27c.pt,16,rgb,rgb+nir,delulu-peeking,none,rgb,nir,98.5925925925926,98.70370370370371
checkpoints/rgb_to_nir_jan27c.pt,16,rgb,rgb+nir,delulu-transfer,alternating,nir,rgb,91.37037037037037,91.37037037037037
checkpoints/rgb_to_nir_jan27c.pt,16,rgb,rgb+nir,delulu-addition,alternating,rgb+nir,,98.5925925925926,98.75925925925925
checkpoints/rgb_to_nir_jan27c.pt,16,rgb,rgb+nir,delulu-peeking,alternating,rgb,nir,98.5925925925926,98.74074074074075
checkpoints/rgb_to_nir_jan27c.pt,16,rgb,rgb+nir,delulu-transfer,distill_only,nir,rgb,91.14814814814815,91.37037037037037
checkpoints/rgb_to_nir_jan27c.pt,16,rgb,rgb+nir,delulu-addition,distill_only,rgb+nir,,98.53703703703704,98.68518518518519
checkpoints/rgb_to_nir_jan27c.pt,16,rgb,rgb+nir,delulu-peeking,distill_only,rgb,nir,98.53703703703704,98.70370370370371
checkpoints/swir_to_rgb_jan27c.pt,16,swir,swir+rgb,delulu-transfer,none,rgb,swir,87.46296296296296,87.55555555555556
checkpoints/swir_to_rgb_jan27c.pt,16,swir,swir+rgb,delulu-addition,none,swir+rgb,,88.48148148148148,88.57407407407408
checkpoints/swir_to_rgb_jan27c.pt,16,swir,swir+rgb,delulu-peeking,none,swir,rgb,88.05555555555556,88.29629629629629
checkpoints/swir_to_rgb_jan27c.pt,16,swir,swir+rgb,delulu-transfer,alternating,rgb,swir,87.4074074074074,87.4074074074074
checkpoints/swir_to_rgb_jan27c.pt,16,swir,swir+rgb,delulu-addition,alternating,swir+rgb,,88.27777777777777,88.66666666666667
checkpoints/swir_to_rgb_jan27c.pt,16,swir,swir+rgb,delulu-peeking,alternating,swir,rgb,88.01851851851852,88.37037037037037
checkpoints/swir_to_rgb_jan27c.pt,16,swir,swir+rgb,delulu-transfer,distill_only,rgb,swir,87.11111111111111,87.4074074074074
checkpoints/swir_to_rgb_jan27c.pt,16,swir,swir+rgb,delulu-addition,distill_only,swir+rgb,,88.5,88.62962962962963
checkpoints/swir_to_rgb_jan27c.pt,16,swir,swir+rgb,delulu-peeking,distill_only,swir,rgb,88.16666666666667,88.37037037037037
checkpoints/swir_to_nir_jan27c.pt,16,swir,swir+nir,delulu-transfer,none,nir,swir,76.42592592592592,77.37037037037037
checkpoints/swir_to_nir_jan27c.pt,16,swir,swir+nir,delulu-addition,none,swir+nir,,88.0925925925926,88.27777777777777
checkpoints/swir_to_nir_jan27c.pt,16,swir,swir+nir,delulu-peeking,none,swir,nir,88.18518518518519,88.44444444444444
checkpoints/swir_to_nir_jan27c.pt,16,swir,swir+nir,delulu-transfer,alternating,nir,swir,76.98148148148148,77.64814814814815
checkpoints/swir_to_nir_jan27c.pt,16,swir,swir+nir,delulu-addition,alternating,swir+nir,,88.0925925925926,88.44444444444444
checkpoints/swir_to_nir_jan27c.pt,16,swir,swir+nir,delulu-peeking,alternating,swir,nir,88.25925925925925,88.48148148148148
checkpoints/swir_to_nir_jan27c.pt,16,swir,swir+nir,delulu-transfer,distill_only,nir,swir,77.29629629629629,77.51851851851852
checkpoints/swir_to_nir_jan27c.pt,16,swir,swir+nir,delulu-addition,distill_only,swir+nir,,88.12962962962963,88.48148148148148
checkpoints/swir_to_nir_jan27c.pt,16,swir,swir+nir,delulu-peeking,distill_only,swir,nir,88.24074074074075,88.48148148148148
