wandb_run_id,starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,use_mae,use_latent,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
t7aavojv,nir,rgb,1.4049440052073044e-05,6.165153379834345e-05,64,0.3992105718487069,0.44457021519658846,0.8009055144686262,0.5866190268507612,True,True,47172628,prefusion+distill+ce+mae+latent,66.04,78.13,79.07,79.91,74.30,76.02,72.31,86.06,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_t7aavojv_0203_2228.pt
izezo3w8,rgb,swir,0.00010420124947609904,0.01269537017697136,64,0.517586948552056,0.387951505530723,0.8428121920478596,0.13146753774282172,True,True,47369492,prefusion+distill+ce+mae+latent,77.44,82.69,88.85,87.93,88.07,87.83,83.09,90.98,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_izezo3w8_0203_2230.pt
bqen7axd,nir,rgb,0.00021834354568316203,0.00011944423480664538,64,0.6136808068224208,0.2585730655589492,0.8548119730649213,0.5121475277544153,True,True,47172628,prefusion+distill+ce+mae+latent,66.41,78.13,77.33,78.28,70.15,74.15,71.87,84.67,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_bqen7axd_0203_2239.pt
pmorso2i,rgb,vre,1.4893757774757996e-05,0.002350080445678349,64,0.4635163550140853,0.1241026301064328,0.7036809743628635,0.9098149055015684,True,True,47369492,prefusion+distill+ce+mae+latent,74.04,78.44,87.63,87.87,86.37,84.50,80.83,89.96,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_pmorso2i_0203_2240.pt
yrb8dwv5,nir,swir,0.00017522295092991367,0.03533644175768776,64,0.3826674245882557,0.33822568433959577,0.1005719770634919,0.28475366163673543,True,True,47172628,prefusion+distill+ce+mae+latent,70.19,81.09,75.63,77.20,78.15,80.41,72.52,83.46,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_yrb8dwv5_0203_2241.pt
zb24cnk5,rgb,vre,1.3876492187209728e-05,0.00012694944060313523,64,0.4918814564306811,0.3208177437618486,0.36221049050270226,0.7294993769779025,True,True,47369492,prefusion+distill+ce+mae+latent,77.04,82.41,88.00,88.04,85.70,84.93,82.28,90.94,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_zb24cnk5_0203_2241.pt
61vnspq5,nir,swir,0.0008796985491372996,0.007357762816929477,64,0.130781893387396,0.3358873842475948,0.2486777010324859,0.5469865299574946,True,True,47172628,prefusion+distill+ce+mae+latent,70.11,77.00,76.70,78.59,78.26,80.94,73.39,82.72,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_61vnspq5_0203_2242.pt
i10fms5g,nir,swir,0.0008061628912392876,0.016416778365267858,64,0.6798710121240189,0.2870524401375055,0.5829318265521405,0.5046675817340219,True,True,47172628,prefusion+distill+ce+mae+latent,70.41,78.09,76.48,77.50,73.96,77.94,72.94,83.87,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_i10fms5g_0203_2249.pt
nl961wdc,nir,swir,1.776847492928662e-05,0.004762760399392587,64,0.1420554044982282,0.311747445393881,0.6139811938302164,0.4609577360610118,True,True,47172628,prefusion+distill+ce+mae+latent,68.67,79.44,78.22,79.78,77.48,78.35,73.19,83.63,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_nl961wdc_0203_2251.pt
lmpa00am,vre,rgb,0.00012106371284365348,1.9749202497208306e-05,64,0.7640048038551314,0.31239887487515894,0.20981475089737092,0.9468431154190036,True,True,47369492,prefusion+distill+ce+mae+latent,81.81,85.00,88.41,88.85,92.00,88.93,85.11,90.93,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_lmpa00am_0203_2252.pt
wdr5w4cx,rgb,vre,2.9829335243395603e-05,0.0027043041920238563,64,0.7121617984295948,0.4985416567937543,0.5971984300121251,0.0290897125522791,True,True,47369492,prefusion+distill+ce+mae+latent,81.19,86.87,89.56,89.06,83.04,82.02,85.26,91.48,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_wdr5w4cx_0203_2252.pt
dg8hc71l,rgb,vre,0.0002290636940894054,0.00018862914221722148,64,0.7777560058427379,0.1376130100907226,0.6135756482418312,0.2219449253920398,True,True,47369492,prefusion+distill+ce+mae+latent,79.11,83.17,88.11,88.43,84.11,84.72,83.39,90.96,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_dg8hc71l_0203_2254.pt
1x5rg4gv,vre,rgb,0.0009866371332408596,0.05127519835097004,64,0.6996859213750729,0.3552577450142095,0.3401474749459973,0.7497112988966742,True,True,47369492,prefusion+distill+ce+mae+latent,83.81,85.91,86.74,86.65,87.59,88.24,85.28,88.78,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_1x5rg4gv_0203_2256.pt
vju7xeso,vre,nir,1.3205853623174043e-05,0.001342368823938391,64,0.30664652204149717,0.15820375519920515,0.08855364916827113,0.9171227438220464,True,True,47172628,prefusion+distill+ce+mae+latent,62.74,63.22,88.30,89.48,95.93,89.22,75.52,87.81,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_vju7xeso_0203_2257.pt
1p19kovt,vre,rgb,0.0002882446273083399,0.00853543604433975,64,0.873983118481747,0.4138119653082089,0.6919944502219328,0.6025603719376944,True,True,47369492,prefusion+distill+ce+mae+latent,82.37,83.96,89.26,88.91,90.70,88.61,85.76,91.28,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_1p19kovt_0203_2301.pt
7ytqcqbn,rgb,nir,1.5404988800722833e-05,0.0027406960376611033,64,0.51669388907752,0.43484950467278816,0.6030858335801822,0.90350776258706,True,True,47172628,prefusion+distill+ce+mae+latent,68.85,74.63,87.78,88.43,93.74,88.06,78.31,91.07,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_7ytqcqbn_0203_2303.pt
jx0aud41,vre,nir,0.000346674443058657,1.1597232960175142e-05,64,0.6177337850565494,0.1803885408567617,0.5077174483339381,0.7082228521457183,True,True,47172628,prefusion+distill+ce+mae+latent,69.70,71.72,88.96,89.31,91.74,88.98,79.09,88.63,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_jx0aud41_0203_2303.pt
2w4g81zk,vre,nir,1.2794345438249946e-05,0.053617060862651035,64,0.14099140038248514,0.2466537310449967,0.7547375610608437,0.6970343720623987,True,True,47172628,prefusion+distill+ce+mae+latent,64.70,64.85,89.26,89.63,96.85,88.78,76.48,87.74,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_2w4g81zk_0203_2306.pt
wlsuqo8a,rgb,nir,0.0005327478694377432,0.0010448504821323982,64,0.5653645914058102,0.1944067012448761,0.010836572929420153,0.5321292318132284,True,True,47172628,prefusion+distill+ce+mae+latent,64.85,69.43,84.74,85.56,87.19,87.81,74.69,89.28,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_wlsuqo8a_0203_2308.pt
47otadek,vre,rgb,3.63337956507648e-05,0.049923437639977586,64,0.1440635319672067,0.2017732867602809,0.4050557432834294,0.0569248918749532,True,True,47369492,prefusion+distill+ce+mae+latent,73.07,76.52,89.70,89.76,96.33,88.91,81.26,90.26,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_47otadek_0203_2308.pt
tuulkl6v,rgb,nir,0.0006328578481022701,0.0057804531534289385,64,0.29806685536133304,0.3032858504685104,0.811435210466007,0.5171361443110103,True,True,47172628,prefusion+distill+ce+mae+latent,65.19,71.74,87.70,88.37,88.07,89.33,76.43,91.02,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_tuulkl6v_0203_2313.pt
