dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init,num_time_steps,decoder,train_aug,train_split
dfc2020,evan_base,s1,fft,32,fft,0.0001,0.01,85479176,24,30.05,30.94,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0001_20260820_161041.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s1,fft,32,fft,0.0001,0.0,85479176,24,30.24,31.30,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0001_20260820_161228.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.01,85675784,24,50.18,50.80,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_161238.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0001,0.01,85675784,24,43.30,42.99,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260820_161347.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0001,0.0,85675784,24,43.41,43.12,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260820_161344.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0005,0.0,87052040,24,55.85,56.29,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_161416.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s1,fft,32,fft,0.0005,0.01,85479176,24,44.07,44.59,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_161524.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0005,0.01,87052040,24,55.62,56.33,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_161401.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s1,fft,32,fft,0.0005,0.0,85479176,24,45.13,44.53,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_161551.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.0,85675784,24,50.68,50.57,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_161427.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0001,0.01,87052040,24,50.13,49.39,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0001_20260820_161703.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s1,fft,32,fft,0.0001,0.0,85479176,24,35.30,35.95,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0001_20260820_161853.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0001,0.0,87052040,24,50.05,48.98,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0001_20260820_161702.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s1,fft,32,fft,0.0001,0.01,85479176,24,35.83,36.08,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0001_20260820_162054.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0005,0.01,126387720,24,62.12,62.86,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_174319.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s1,fft,32,fft,0.0005,0.01,124814856,24,50.46,49.85,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_174326.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s1,fft,32,fft,0.0005,0.0,124814856,24,49.96,50.34,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_174347.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0005,0.0,126387720,24,62.79,63.31,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_174312.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.0,125011464,24,62.05,63.08,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_174307.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.01,125011464,24,62.01,62.80,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_174307.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0005,0.01,126387720,24,66.74,67.60,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_180815.pt,clstoken,False,12,upernet,none,full
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0005,0.0,126387720,24,66.73,67.49,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_180917.pt,clstoken,False,12,upernet,none,full
dfc2020,evan_base,s1,fft,32,fft,0.0005,0.01,124814856,24,51.45,51.12,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_180906.pt,clstoken,False,12,upernet,none,full
dfc2020,evan_base,s1,fft,32,fft,0.0005,0.0,124814856,24,52.55,51.53,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_180911.pt,clstoken,False,12,upernet,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.0,125011464,24,60.76,60.25,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_180935.pt,clstoken,False,12,upernet,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.01,125011464,24,60.61,60.23,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_181110.pt,clstoken,False,12,upernet,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,107342600,24,56.58,56.38,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_194335.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,107342600,24,55.83,55.70,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_194342.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.01,108718856,24,56.17,56.27,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_194433.pt,clstoken,True,12,linear,none,split1
