dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init,num_time_steps,decoder,train_aug,train_split
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.01,108915464,24,39.64,39.43,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_162058.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.0,108915464,24,39.14,38.78,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_162220.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,107342600,24,50.60,50.56,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_161924.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.01,107342600,24,44.13,44.00,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_162020.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.0,108718856,24,56.10,56.38,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_162145.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.0,107342600,24,42.90,42.87,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_162119.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.01,108718856,24,55.78,56.42,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_162226.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.01,108915464,24,50.40,50.59,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_162419.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,107342600,24,50.75,50.52,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_162143.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.0,108915464,24,49.99,50.37,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_162558.pt,clstoken,False,12,linear,none,full
