dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init
eurosat,evan_base,vre,fft,32,fft,0.0001,0.01,85677322,24,88.83,89.00,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0001_20260421_150846.pt,clstoken,False
eurosat,evan_base,vre,fft,32,fft,0.0005,0.0,85677322,24,89.22,90.07,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260421_150748.pt,clstoken,False
eurosat,evan_base,rgb,fft,32,fft,0.0001,0.01,85677322,24,89.56,89.11,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260421_150315.pt,clstoken,False
eurosat,evan_base,swir,fft,32,fft,0.001,0.0,85677322,24,84.67,84.89,Acc,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.001_20260421_151133.pt,clstoken,False
eurosat,evan_base,vre,fft,32,fft,0.0001,0.0,85677322,24,88.26,88.52,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0001_20260421_150956.pt,clstoken,False
eurosat,evan_base,swir,fft,32,fft,0.0001,0.01,85677322,24,84.07,83.89,Acc,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0001_20260421_151349.pt,clstoken,False
eurosat,evan_base,swir,fft,32,fft,0.001,0.01,85677322,24,84.76,85.37,Acc,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.001_20260421_151024.pt,clstoken,False
eurosat,evan_base,swir,fft,32,fft,0.0005,0.0,85677322,24,85.46,85.52,Acc,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260421_151317.pt,clstoken,False
eurosat,evan_base,swir,fft,32,fft,0.0005,0.01,85677322,24,86.17,85.89,Acc,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260421_151133.pt,clstoken,False
eurosat,evan_base,s2,fft,32,fft,0.001,0.01,87643402,24,92.57,92.44,Acc,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.001_20260421_144224.pt,clstoken,False
eurosat,evan_base,s2,fft,32,fft,0.001,0.0,87643402,24,93.00,92.26,Acc,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.001_20260421_144337.pt,clstoken,False
eurosat,evan_base,swir,fft,32,fft,0.0001,0.0,85677322,24,83.24,83.81,Acc,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0001_20260421_151533.pt,clstoken,False
eurosat,evan_base,s2,fft,32,fft,0.0005,0.0,87643402,24,92.94,92.48,Acc,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260421_144914.pt,clstoken,False
eurosat,evan_base,s2,fft,32,fft,0.0005,0.01,87643402,24,92.56,92.04,Acc,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260421_144914.pt,clstoken,False
