model_type,teacher_modality,student_modalities,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epochs,use_dino_weights,metric_name,teacher_train1_metric,teacher_train2_metric,teacher_test_metric,student_test_metric,student_best_test_metric,best_epoch,best_val2_teacher_agreement,valchecked_test_metric,saved_checkpoint,global_rep,teacher_checkpoint
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0001,0.01,108913928,20,True,mIoU,75.19,58.65,45.85,50.13,52.69,11,90.63,50.49,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s1,s1+s2,fft,0,fft,0.0001,0.01,109307144,20,True,mIoU,93.26,51.41,44.15,41.25,41.94,17,86.40,41.94,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt
evan_base,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.0003,1e-05,130579976,20,True,mIoU,75.19,58.65,45.85,50.24,52.38,5,90.11,50.55,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_large,s1,s1+s2,fft,0,fft,0.0003,0.01,344108040,20,True,mIoU,82.46,51.89,43.99,42.55,50.06,7,86.58,44.55,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.0005_20260417_084018.pt
evan_large,s2,s2+s1,fft,0,fft,0.0003,0.01,344108040,20,True,mIoU,82.15,59.75,50.72,48.92,49.90,8,90.87,49.03,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_base,s1,s1+s2,fft,0,fft,0.0001,1e-05,109307144,20,True,mIoU,93.26,51.41,44.15,44.85,49.51,4,86.42,46.11,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.0001,1e-05,107341064,20,True,mIoU,75.19,58.65,45.85,48.20,49.95,5,90.63,48.20,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.0001,0.01,130579976,20,True,mIoU,75.19,58.65,45.85,50.83,53.02,7,90.46,51.92,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_large,s2_rgb,s2_rgb+s1,fft,0,fft,0.0001,0.01,341486600,20,True,mIoU,79.66,59.00,48.79,50.19,51.70,9,92.05,50.77,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.0003,0.01,381909000,20,True,mIoU,79.66,59.00,48.79,50.89,52.12,13,91.42,50.62,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0001,1e-05,343583752,20,True,mIoU,79.66,59.00,48.79,51.26,53.30,6,92.21,51.26,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_base,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.0001,1e-05,130579976,20,True,mIoU,75.19,58.65,45.85,52.17,53.05,2,90.73,52.36,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_large,s1,s1+s2,fft,0,fft,0.0003,1e-05,344108040,20,True,mIoU,82.46,51.89,43.99,42.59,49.95,6,86.48,40.65,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.0005_20260417_084018.pt
evan_large,s2,s2+s1,fft,0,fft,0.0003,1e-05,344108040,20,True,mIoU,82.15,59.75,50.72,51.05,53.55,10,90.90,51.05,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2_rgb,s2_rgb+s1,fft,0,fft,0.0001,1e-05,341486600,20,True,mIoU,79.66,59.00,48.79,48.14,52.32,11,91.97,48.48,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.0003,1e-05,381909000,20,True,mIoU,79.66,59.00,48.79,50.58,52.42,9,91.43,50.58,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s1,s1+s2,fft,0,fft,0.0001,0.01,344108040,20,True,mIoU,82.46,51.89,43.99,45.83,49.23,10,86.66,48.15,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.0005_20260417_084018.pt
evan_large,s2,s2+s1,fft,0,fft,0.0001,0.01,344108040,20,True,mIoU,82.15,59.75,50.72,52.68,53.99,10,91.32,52.91,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s1,s1+s2,fft,0,fft,0.0001,1e-05,344108040,20,True,mIoU,82.46,51.89,43.99,43.71,50.74,9,86.83,47.08,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.0005_20260417_084018.pt
evan_large,s2,s2+s1,fft,0,fft,0.0001,1e-05,344108040,20,True,mIoU,82.15,59.75,50.72,50.36,53.52,4,91.44,50.73,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.0001,0.01,381909000,20,True,mIoU,79.66,59.00,48.79,51.18,53.36,8,91.78,51.30,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0001,1e-05,108913928,20,True,mIoU,75.19,58.65,45.85,51.83,54.24,3,89.99,51.83,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2,s2+s1,fft,0,fft,0.0001,0.01,109307144,20,True,mIoU,78.08,57.98,39.67,39.26,47.49,2,91.06,39.20,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260417_095813.pt
evan_large,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0003,0.01,343583752,20,True,mIoU,79.66,59.00,48.79,49.39,51.73,9,91.00,49.62,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s2_rgb,s2_rgb+s1,fft,0,fft,0.0003,0.01,341486600,20,True,mIoU,79.66,59.00,48.79,47.98,51.89,6,91.28,48.60,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_base,s2,s2+s1,fft,0,fft,0.0001,1e-05,109307144,20,True,mIoU,78.08,57.98,39.67,40.63,49.65,5,90.98,40.45,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260417_095813.pt
evan_large,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.001,1e-05,381909000,20,True,mIoU,79.66,59.00,48.79,45.43,49.74,4,90.25,45.43,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0003,1e-05,343583752,20,True,mIoU,79.66,59.00,48.79,49.55,51.31,1,91.19,50.08,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s2_rgb,s2_rgb+s1,fft,0,fft,0.0003,1e-05,341486600,20,True,mIoU,79.66,59.00,48.79,45.66,52.73,8,91.11,45.86,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.0001,1e-05,381909000,20,True,mIoU,79.66,59.00,48.79,52.60,54.13,4,91.65,52.70,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0001,0.01,343583752,20,True,mIoU,79.66,59.00,48.79,51.54,53.51,4,91.78,51.54,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
