model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,lambda_u,lambda_e,ema_momentum,temperature,use_quantile,clip_thresh,no_strong_aug,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights,use_s2dino_weights
evan_base,vre,fft,0.0003,0.0001,85677322,20,1.0,0.05,0.99,1.0,False,True,False,Acc,90.57,89.37,90.57,checkpoints/evan_freematch_eurosat_vre_20260727_111111.pt,clstoken,True,False
evan_base,rgb,fft,0.0003,0.0001,85677322,20,1.0,0.05,0.99,1.0,False,True,False,Acc,96.02,96.74,96.87,checkpoints/evan_freematch_eurosat_rgb_20260727_111327.pt,clstoken,True,False
evan_base,rgb,fft,0.0003,0.0001,85677322,20,1.0,0.05,0.99,1.0,False,True,True,Acc,96.78,96.89,96.78,checkpoints/evan_freematch_eurosat_rgb_20260727_111515.pt,clstoken,True,False
evan_base,nir,fft,0.0003,0.0001,85480714,20,1.0,0.05,0.99,1.0,False,True,True,Acc,77.54,77.26,77.31,checkpoints/evan_freematch_eurosat_nir_20260727_111806.pt,clstoken,True,False
evan_base,vre,fft,0.0003,0.0001,85677322,20,1.0,0.05,0.99,1.0,False,True,True,Acc,90.30,90.44,90.57,checkpoints/evan_freematch_eurosat_vre_20260727_111649.pt,clstoken,True,False
evan_base,swir,fft,0.0003,0.0001,85677322,20,1.0,0.05,0.99,1.0,False,True,True,Acc,87.61,87.22,87.28,checkpoints/evan_freematch_eurosat_swir_20260727_112816.pt,clstoken,True,False
evan_base,nir,fft,0.0004,0.0001,85480714,20,1.0,0.01,0.999,1.0,False,True,False,Acc,77.17,76.52,77.09,checkpoints/evan_freematch_eurosat_nir_20260727_114355.pt,clstoken,True,False
evan_base,swir,fft,0.0004,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,False,Acc,87.61,86.78,87.61,checkpoints/evan_freematch_eurosat_swir_20260727_114821.pt,clstoken,True,False
evan_base,vre,fft,0.0004,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,False,Acc,89.37,89.07,89.43,checkpoints/evan_freematch_eurosat_vre_20260727_114821.pt,clstoken,True,False
evan_base,nir,fft,0.0004,0.0001,85480714,20,1.0,0.01,0.999,1.0,False,True,True,Acc,77.24,77.59,77.24,checkpoints/evan_freematch_eurosat_nir_20260727_115226.pt,clstoken,True,False
evan_base,rgb,fft,0.0004,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,False,Acc,94.19,95.56,95.78,checkpoints/evan_freematch_eurosat_rgb_20260727_115025.pt,clstoken,True,False
evan_base,rgb,fft,0.0004,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,True,Acc,87.76,95.89,95.96,checkpoints/evan_freematch_eurosat_rgb_20260727_115213.pt,clstoken,True,False
evan_large,nir,fft,0.0004,0.0001,302902282,20,1.0,0.01,0.999,1.0,False,True,False,Acc,79.43,78.96,79.09,checkpoints/evan_freematch_eurosat_nir_20260727_104700.pt,clstoken,True,False
evan_base,vre,fft,0.0004,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,True,Acc,88.80,88.52,88.80,checkpoints/evan_freematch_eurosat_vre_20260727_115335.pt,clstoken,True,False
evan_large,swir,fft,0.0004,0.0001,303164426,20,1.0,0.01,0.999,1.0,False,True,False,Acc,89.26,88.22,89.26,checkpoints/evan_freematch_eurosat_swir_20260727_105000.pt,clstoken,True,False
evan_large,vre,fft,0.0004,0.0001,303164426,20,1.0,0.01,0.999,1.0,False,True,False,Acc,95.81,95.41,95.69,checkpoints/evan_freematch_eurosat_vre_20260727_105200.pt,clstoken,True,False
evan_large,rgb,fft,0.0004,0.0001,303164426,20,1.0,0.05,0.999,1.0,False,True,False,Acc,98.15,97.78,97.98,checkpoints/evan_freematch_eurosat_rgb_20260727_105320.pt,clstoken,True,False
evan_base,swir,fft,0.0004,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,True,Acc,87.43,86.44,87.43,checkpoints/evan_freematch_eurosat_swir_20260727_120423.pt,clstoken,True,False
evan_base,nir,fft,0.0004,0.0001,85480714,20,1.0,0.01,0.99,1.0,False,True,False,Acc,80.09,79.93,80.09,checkpoints/evan_freematch_eurosat_nir_20260727_121959.pt,clstoken,True,False
evan_base,swir,fft,0.0004,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,False,Acc,89.85,88.81,89.85,checkpoints/evan_freematch_eurosat_swir_20260727_122443.pt,clstoken,True,False
evan_base,nir,fft,0.0004,0.0001,85480714,20,1.0,0.01,0.99,1.0,False,True,True,Acc,72.41,70.96,72.30,checkpoints/evan_freematch_eurosat_nir_20260727_122639.pt,clstoken,True,False
evan_base,vre,fft,0.0004,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,False,Acc,89.76,88.96,89.67,checkpoints/evan_freematch_eurosat_vre_20260727_122452.pt,clstoken,True,False
evan_large,swir,fft,0.0004,0.0001,303164426,20,1.0,0.01,0.999,1.0,False,True,True,Acc,88.24,87.41,88.24,checkpoints/evan_freematch_eurosat_swir_20260727_111942.pt,clstoken,True,False
evan_base,rgb,fft,0.0004,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,False,Acc,97.06,96.96,97.06,checkpoints/evan_freematch_eurosat_rgb_20260727_122755.pt,clstoken,True,False
evan_base,vre,fft,0.0004,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,True,Acc,89.50,89.07,89.50,checkpoints/evan_freematch_eurosat_vre_20260727_123016.pt,clstoken,True,False
evan_base,rgb,fft,0.0004,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,True,Acc,96.63,96.11,96.54,checkpoints/evan_freematch_eurosat_rgb_20260727_122925.pt,clstoken,True,False
evan_large,rgb,fft,0.0004,0.0001,303164426,20,1.0,0.01,0.999,1.0,False,True,True,Acc,98.09,97.93,98.09,checkpoints/evan_freematch_eurosat_rgb_20260727_112400.pt,clstoken,True,False
evan_large,vre,fft,0.0004,0.0001,303164426,20,1.0,0.01,0.999,1.0,False,True,True,Acc,96.15,95.26,95.98,checkpoints/evan_freematch_eurosat_vre_20260727_112450.pt,clstoken,True,False
evan_large,nir,fft,0.0004,0.0001,302902282,20,1.0,0.01,0.999,1.0,False,True,True,Acc,86.74,85.81,86.74,checkpoints/evan_freematch_eurosat_nir_20260727_112530.pt,clstoken,True,False
evan_base,swir,fft,0.0004,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,True,Acc,87.46,86.89,87.35,checkpoints/evan_freematch_eurosat_swir_20260727_124053.pt,clstoken,True,False
evan_base,nir,fft,0.0004,0.0001,85480714,20,1.0,0.05,0.999,1.0,False,True,False,Acc,76.85,76.15,76.96,checkpoints/evan_freematch_eurosat_nir_20260727_125533.pt,clstoken,True,False
evan_base,nir,fft,0.0004,0.0001,85480714,20,1.0,0.05,0.999,1.0,False,True,True,Acc,75.20,74.19,75.20,checkpoints/evan_freematch_eurosat_nir_20260727_130046.pt,clstoken,True,False
evan_base,swir,fft,0.0004,0.0001,85677322,20,1.0,0.05,0.999,1.0,False,True,False,Acc,88.04,86.74,88.24,checkpoints/evan_freematch_eurosat_swir_20260727_130038.pt,clstoken,True,False
evan_base,vre,fft,0.0004,0.0001,85677322,20,1.0,0.05,0.999,1.0,False,True,False,Acc,89.98,88.89,89.98,checkpoints/evan_freematch_eurosat_vre_20260727_130200.pt,clstoken,True,False
evan_base,rgb,fft,0.0004,0.0001,85677322,20,1.0,0.05,0.999,1.0,False,True,False,Acc,89.44,96.04,96.19,checkpoints/evan_freematch_eurosat_rgb_20260727_130523.pt,clstoken,True,False
evan_base,vre,fft,0.0004,0.0001,85677322,20,1.0,0.05,0.999,1.0,False,True,True,Acc,88.11,88.26,88.30,checkpoints/evan_freematch_eurosat_vre_20260727_130621.pt,clstoken,True,False
evan_base,rgb,fft,0.0004,0.0001,85677322,20,1.0,0.05,0.999,1.0,False,True,True,Acc,87.13,93.78,95.04,checkpoints/evan_freematch_eurosat_rgb_20260727_130653.pt,clstoken,True,False
